[00:00:01] ハロハロどうもジョビンですこの
[00:00:03] チャンネルはキャストUDキャストREの
[00:00:06] キャストグループさんの提供でお送りして
[00:00:08] おりますえ今日はですねあのラジ47の
[00:00:13] 勝敗予想やっていきたいと思いますま
[00:00:16] ブレイキングダウンで僕のこと知った知っ
[00:00:19] てくれた多少はいると思うんですけど僕の
[00:00:21] 本業というか普段え1番求められてんのは
[00:00:24] 雷人の勝敗予想と感想だと思っております
[00:00:27] あとそれをピンでやることがね単体でやる
[00:00:30] のが1番求められてると自負してるしはい
[00:00:33] 今後も勝敗予想え感想は絶対にえ直前なっ
[00:00:37] たら1人でちゃんとやろうと思っており
[00:00:40] ますよろしくお願いしますでラジ47なん
[00:00:43] ですけどなんか全然盛り上がってないよね
[00:00:47] 正直なんか工業的にも大苦戦してるという
[00:00:50] 噂を聞いておりますはいてかあのま
[00:00:54] プロモーションに関しては俺が口出しする
[00:00:55] ことじゃないんかもしれんけどあのこの前
[00:00:58] スーパーライジのカード発表とかあったと
[00:01:00] 思うやけどあのと対ひやとかいろんな
[00:01:03] カード発表あったけどあれ必要かなあの時
[00:01:08] に大人47が終わってからでいいと思うん
[00:01:11] やけどうんなんかそっちの方が良くない
[00:01:15] なんかもうありをやられたことによって
[00:01:17] またスーパーラジに注目度行くし早く発表
[00:01:20] する意味もあんまりないと思うんやけどな
[00:01:22] チケットが売れてなかったら発表するのは
[00:01:24] 分かるけどどっちにしてらもう売れそうな
[00:01:25] んやしああいうことするからR47より
[00:01:29] なんかスーパーにみんな意識がいっちゃっ
[00:01:31] てうんあれちょっとこれが終わってから
[00:01:34] 発表してたって何にもマイナスなことない
[00:01:36] と思っちゃいました
[00:01:38] はいでまあねメインとセミ堀口教授隊
[00:01:42] セルジオペティスたえペティとクベル湖池
[00:01:45] 隊不安れたっていう極上のカードが揃っ
[00:01:48] てるんですけどこの2試合は特にね大晦か
[00:01:51] でもなんら遜色ないねでも全然注目されて
[00:01:55] ないよ
[00:01:56] ね全然注目されてない感じがするはいでも
[00:02:00] こういう時こそ僕の出番ていうかえね
[00:02:03] みんながあんまり知らない外国人
[00:02:05] ファイターとか出てると思うのでその辺も
[00:02:07] きちんと分析してきましたはいえであその
[00:02:11] 前にちょっとXで僕があのMMAっていう
[00:02:14] 言葉にえ違感を感じる違和感を感じるさ
[00:02:17] 違和感を覚えるっていうのが正解なの
[00:02:19] かっていうコメントがせられてたけどそう
[00:02:21] mvmaって別これそう不満とかじゃなく
[00:02:24] てMMAってなんかね若い女の子とかうち
[00:02:28] のアンディのスタッフの女の子とか
[00:02:30] これMMAルールなのとか普通にMMAと
[00:02:33] か使ってるのを見てたら何がMMAルール
[00:02:36] やって思ってしまう部分があってなんか
[00:02:38] 分かりづらいなっていうちょっとXで投稿
[00:02:40] したま結構反響あったけどうんなんか俺の
[00:02:44] 時代たか総合格闘技総合とか言われてて俺
[00:02:48] の現役時代はあとまバーリトードとか言わ
[00:02:51] れてたけどなんかいつの間にかMMAって
[00:02:53] 言われるようになってきてそれが当たり前
[00:02:55] になってきてるけど果たしてこれがもう
[00:02:57] 最終最終の名称であってんのかかなて疑問
[00:03:00] もあってそうなんかま個人的にはちょっと
[00:03:04] ま考えてみたんけどじゃあどうすればいい
[00:03:06] のかってまMMAでとにかくいいんやけど
[00:03:09] あのま笑われるかもしれんけどこれ冗談
[00:03:11] じゃなくてトータルファイトでどうかな
[00:03:15] トータルファイトってまそらね馴染みが
[00:03:18] ないからなんかもめっちゃバカにされそう
[00:03:20] やけどトータルファイトとかすごい分かり
[00:03:21] やすい気がするんやけどうんまあとま総合
[00:03:24] でいいと思うけどな総合格闘技でなんか
[00:03:28] ボクシングキックまボクシングって言葉が
[00:03:30] もう認知されてるからっていのもあると
[00:03:32] 思うけどボクシングとキックボクシングで
[00:03:35] すごい分かりやすいのに急にmmとか言わ
[00:03:38] れたら一般の人って分かりづらいと思うん
[00:03:40] やけどなま俺のトータルファイトも結構
[00:03:43] いいと思うやけどあとパンクラチオンて
[00:03:44] いうえ案が出てたら昔昔ギリシャでね
[00:03:49] ギリシャの競技としてパンクラチオンて
[00:03:51] もう何百年前にあったらしくてそういう
[00:03:53] 競技名がそっからパンクラスってね名前
[00:03:56] ついてると思うけどパンクラチオンとかも
[00:03:58] それ結構かこいいなと思うけどなんか
[00:04:00] MMAっていうのね違和感を感じており
[00:04:03] ますあ覚えておりますはい俺はもう総合で
[00:04:06] いいような気もするんやけどねまMMAで
[00:04:07] 行くなら行くでま別にいいんやけどこれで
[00:04:10] 最終決定でっていうなんか疑問があるうん
[00:04:14] ねなんかそうこなんか分かりやすい気も
[00:04:16] するんですけどはいそういうちょっと余談
[00:04:18] とかもね交えてくチャンネルなので皆さん
[00:04:20] はいえ許してねこういうのもはいではです
[00:04:23] ね
[00:04:25] えっとラジン47の勝敗予想やっていき
[00:04:29] ましょうえまずはですねえ第1
[00:04:34] 試合徳かV宇佐シ
[00:04:39] パトリック徳選手が復帰ということでこれ
[00:04:43] は100人中90人ぐらい90%ぐらいの
[00:04:47] 割合で徳選手が圧倒的有利と思うし俺も
[00:04:51] そうと思うんやけどま金原バス鈴木郎と
[00:04:56] 一緒で多分練習だったら圧倒的に止が有利
[00:05:00] と思うよ特に組み技めででもなんか俺
[00:05:04] もらっちゃう気がするんよなうみのパンチ
[00:05:06] をなんかね特選手ってここ1番こった時に
[00:05:11] 負けてるイメージパンチもらっちゃうマジ
[00:05:14] で練習で強いって聞くいろんなところで
[00:05:17] うん確かシルバーシルバーウルフでやっ
[00:05:19] てるよねキックボクシングはとかでも
[00:05:21] シルバーウルフでもその現役の本職の
[00:05:25] キックボクス相手にキックボクシング
[00:05:26] ルールで圧倒するとかも聞いたことあるし
[00:05:29] 組み技も相当強いらしいうんマジ効くなあ
[00:05:34] ただ俺あの岡田涼選手が雷人に出てた時に
[00:05:37] 言ったのと一緒でうんなんかずっと上を
[00:05:41] 目指してる今今上を目指してる宇佐美選手
[00:05:43] となま正直雷人が盛り上がってるからあの
[00:05:47] 復帰すると思うけど完全に引退したから1
[00:05:49] 回ね徳選手ってそれでなんかやってみよう
[00:05:52] もう1回やってみようって徳選手と
[00:05:54] モチベーションがまだ違うかなって思うん
[00:05:57] よな何の競技でもそうやけどねま徳の選手
[00:06:00] もある程度の過酷があってこれはこれは
[00:06:02] 復帰するともちろん思うんやけどうんでも
[00:06:05] ずっと上目指してたあのね宇佐美選手との
[00:06:08] そこのモチベーションの差気持ちの差は
[00:06:10] 出るんじゃないかなって思ううんでまも
[00:06:13] 宇美のねあのキムギぴょ戦とか佐々木戦と
[00:06:17] かうんあの大村戦とか見る限り組技はもう
[00:06:21] 全然だった
[00:06:23] けど成長してると思うんやけどな
[00:06:25] ポテンシャルはめっちゃ高いしでも打撃が
[00:06:27] 強いのなんかもう分かりきってるよね
[00:06:30] わりきって本当あのうん世界駆と言っても
[00:06:34] いいんじゃないかなと思うそのMMAの
[00:06:36] ライト級で言えばMMAで言えばねこん
[00:06:39] だけやなかなかおらんと思ううんで元々
[00:06:43] フィジカルも強そうに見えるんやけどなま
[00:06:46] 分からんこれはマジで徳が組み合わせて
[00:06:48] 圧倒する可能性も十分あると思うけどでも
[00:06:52] 俺は徳選手やっぱどっかでもらうイメージ
[00:06:55] うで選手の成長もちょっと成長の期待も
[00:07:00] 兼ねて期待も込めて宇佐選手のパンチこれ
[00:07:04] 当たってしまうと思うや今なまドト選手
[00:07:07] 頑張ってほしいなんか顔もイケメンやし
[00:07:09] めっちゃ人気出そうな感じするしあと鈴木
[00:07:11] 色とか多分練習してるよねそういうの刺激
[00:07:14] も受けてると思うし頑張ってほしいんや
[00:07:16] けどで組み技めっちゃ強いと思うけどま
[00:07:19] 基本的にはディフェンスの組み技と思うよ
[00:07:21] な徳
[00:07:22] 選手色々映像を改めて俺見たけどそんな
[00:07:26] 攻めてる場面は見れんかった俺なんで
[00:07:28] キープしたりとか決めたりとかする場面が
[00:07:31] うんま元々やっぱストライカーやしそう
[00:07:33] 防ぐのは結構特化してると思うんやけど
[00:07:36] こういう相手が来た時にま宇佐美選手ね
[00:07:38] まだ組み技まだ甘いんで決めれたりもする
[00:07:40] かもしれんけどそこまで攻めの組み技は
[00:07:43] 覚えてないんじゃないかなって思うんよな
[00:07:47] うここはちょっと宇佐美選手の慶がちから
[00:07:50] もうほとんどが徳選手の予想と思うけど俺
[00:07:52] は宇選手1
[00:07:55] ラウンドうんパンチで王するんじゃないか
[00:07:58] なってしまいましあ徳生パンチ打つ時に
[00:08:02] こう開いちゃうんよな普段の構えって
[00:08:04] めっちゃ好きがないやこういう感じなけど
[00:08:05] つ時にこう開いちゃうなんか真っすぐの
[00:08:08] パンチとがすごいもらえそうな感じするわ
[00:08:11] うん宇選手のパンチでの形勝ち予想にして
[00:08:15] おきますはいでは次行きますえ次が第2
[00:08:19] 試合梅野現Vウフルスイング
[00:08:23] えまこの前ニュースのコーナーでこの試合
[00:08:26] について文句言わせていだきましたけどに
[00:08:29] その変わらんしなんでこんな試合受けん
[00:08:32] のって思っちゃうウフルスイングうん
[00:08:34] こんなもうねほぼ負けるに決まってる
[00:08:38] しうんこれを止めんのがねジムの代表とか
[00:08:42] まこの前ジブの代表とちょっと挨拶させて
[00:08:44] いただいてねはい握手したんですけどはい
[00:08:47] でも俺は止めるべきと思うけどなね対する
[00:08:51] 梅の事あのまでも梅の事になんか金かけろ
[00:08:56] て言われたらすっごい
[00:08:58] 不安なんかもう手フれそうそのかける金を
[00:09:01] 持った時にこれ梅の現地が頼りにならんて
[00:09:05] いうかなんかもうもらえそうな感じはある
[00:09:07] んやけどうんしかもこれひやりルールでま
[00:09:10] 梅の現実だいぶ有利なんやけどこれウフル
[00:09:13] スイング側に立った時にま勝手にわして
[00:09:15] もらうけどこれ絶望を感じてしまうのが
[00:09:18] 買ったところで別に評価上がらんと思う
[00:09:22] 大してうん買ったこれは例えば夏川天使ま
[00:09:25] 階級とか全然違うけど例えば夏川天とか
[00:09:28] 相手でこういう挑戦してもし1発当たっ
[00:09:31] たらすごいってなるけど果たしてフルセン
[00:09:33] が当たってそんな評価上がるかなMMA
[00:09:36] ファイターとしてなんか梅のがダメだった
[00:09:39] みたいな感じで終わると思うもし当たった
[00:09:42] としても
[00:09:44] うんウフルスイングはでもマジでもう
[00:09:47] 小さい攻撃とかねジャブとかフェイントと
[00:09:50] か使ったら全然まだまだ変われると思う
[00:09:52] けどいいもん持ってると思うけどパンチル
[00:09:53] あるしうんこんなでも名前にフルスイング
[00:09:58] つけられても
[00:10:00] それジャブマ打てへんわな虐待やらフル
[00:10:05] スイングってもう名入りつけられてるもん
[00:10:08] なそれジャブつけへん理由も分かるわうん
[00:10:12] でまこれまあねそら埋めるか勝つんちゃう
[00:10:16] 普通に考えたらまフルスイングのパンチが
[00:10:18] 当たったらわからんなと思うけどうんでも
[00:10:21] 俺これ1番の注目はあの俺がねあの
[00:10:25] 2023年の消えましに梅の選出させて
[00:10:28] もらったけどその時のコメントで梅のにも
[00:10:31] 飽きたって俺言ったけどマジで飽きてて
[00:10:35] あのもうマジできついもうお笑いの部分が
[00:10:39] もう本当にきつい梅野梅野もね富沢と一緒
[00:10:43] でもう狙い出してるもんねうんベビウが
[00:10:48] どうとかもうこの前もプレゼント企画の
[00:10:50] なんか書いてたなXでビビウたちがどうと
[00:10:53] かハベビウがどうとか言ってマジで重ん
[00:10:57] ないでこれこれ最注目なのが人的に入場で
[00:11:01] また勝手にやられてる手にするのかどうか
[00:11:04] がもうそれするようならもう俺も見る気も
[00:11:07] せるけどあも逆におもろいからまだそれ
[00:11:10] やり出したらいやもう普通に入場してくれ
[00:11:14] なんかもう騙されたみたいな手にするやつ
[00:11:16] も誰が得すんの普通に入場して普通に試合
[00:11:20] してうんあともうベビがどうとかももう
[00:11:23] いいわもう飽きてるってマジでとは思うん
[00:11:27] やけどもうあとなんやこ写真この対戦
[00:11:31] カードのなんかもう長年お世話になった人
[00:11:34] に裏切られたみたいな顔しやがってなんや
[00:11:36] その目すごい目でこっちを見てきてる
[00:11:40] な何その裏切られたみたいな目怖い目し
[00:11:44] てるなもうでもま梅野はもうね昼が当たっ
[00:11:48] て今すごい幸せそうには感じるけどね今
[00:11:50] すっっごい楽しそう人生がそれは良かった
[00:11:53] ねとマジ思うんやけどね雷人がそういうね
[00:11:56] え選手たちをピックアップとかしてなんか
[00:11:59] ね有名になれたりとかしてそういうのは
[00:12:01] 良かったよねまウフルスイングもそうか
[00:12:04] うんごめんなかなかと喋りましたけどま
[00:12:05] これは普通にうのまここ肘ありでやるし肘
[00:12:10] での慶王が見たいけどねどうせだったら
[00:12:13] うん肘での慶王が見たいと思うけど2
[00:12:16] ラウンドうん梅野肘で消えようかなさすが
[00:12:20] にこれは攻略してくれ梅野ねなんかもらえ
[00:12:24] そうな気もするけどま梅なの2ラウンド肘
[00:12:26] で形勝ち予想にしておきますはいでは次
[00:12:28] 行きますえー次がえ第3試合ジョニー
[00:12:33] ケースVブラックパンサー
[00:12:36] ベノアまこれはねこの前のえね試合のみぎ
[00:12:40] マッチで組まれてると思うんです
[00:12:42] けどまこの前はま正直ひどかったねま
[00:12:46] しょうがないしね気持ちは分かるんやけど
[00:12:48] ねもう絶対負けれないって戦いでうん最後
[00:12:51] でも最終ラウンド逃げ回ってたんかなあれ
[00:12:54] がマジで俺ん中で印象悪かったしもう負け
[00:12:58] にしてくれと思ったあいうするんだったら
[00:13:00] ベノア選手にね思ったんやけどでジョニー
[00:13:04] ケース復帰戦結構大からの復帰戦でそこが
[00:13:07] ちょっと心配ではある
[00:13:09] けどまこれね俺とにかく気持ちが見えたら
[00:13:12] 格闘技はある程度満足するんやけどベノア
[00:13:14] が前に行ってくれたらどういう結果に
[00:13:16] なろうがいいと思うし勝つ可能性も上がる
[00:13:19] と思うけど絶対に行けないと思う俺はうん
[00:13:22] 前に行くだけで結構感動する気がするけど
[00:13:24] この試合なんか特に相手が超強豪なんでで
[00:13:27] も井上作でけなかったのにこの試合で前に
[00:13:30] 行けるとは俺は思えない同じように守りに
[00:13:33] 入ってえ圧倒されて結構打撃もらってうん
[00:13:38] なんか下になってパウンドでえTを負け1
[00:13:42] ラウンドとは思うんやけどま1発あるから
[00:13:46] ねベのはカウンターでねダリちゃんにあっ
[00:13:49] てたみたいに1発当たったら全然わからん
[00:13:51] と思うけどジョニケースもね復帰戦やしオ
[00:13:53] が追ってるね追ってた部分もあるしそこ
[00:13:56] 不安なんでうんカウンター用もあるとは
[00:13:59] 思うけどまこれ中ハック普通にジョニー
[00:14:01] ケースが打撃で当ててうんジョニーケース
[00:14:04] がだったらテイダウン行ってもいいよな
[00:14:07] うん打撃当てるかテイクダウン行って上に
[00:14:10] なってパウンドで決める気がする1
[00:14:11] ラウンドにとにかくベノは前に行って
[00:14:14] ほしいけどそれが見えたら結構満足する気
[00:14:17] がするけど俺はねこれで下がって負ける
[00:14:19] ようだったらもう呼ばれることもなかなか
[00:14:21] ないんじゃないうんねここは前に行って
[00:14:24] ほしいただ予想はジョニーケースがえ打撃
[00:14:27] かテイクダウンで上になって1ラウンド肘
[00:14:29] とか落としてパウンドでTKO勝ち予想に
[00:14:32] しておきますはいでは次行きますえ次が第
[00:14:36] 4試合カルシャがダウトベックV関哲也
[00:14:40] うんえこれ改めて関哲也選手の映像も見た
[00:14:45] しダウトベックも見たんですけど見直した
[00:14:48] んですけどまず関哲也選手に正直そんなね
[00:14:52] え強い印象なかったんですけど打撃
[00:14:54] めっちゃいいよね特にストレートがノー
[00:14:57] モーションでいいんやけどけど正直ね
[00:15:01] フィジカル的にMMAでトップ行くのって
[00:15:03] きついと思う正直うんもう簡単に下になり
[00:15:06] すぎやもんな神田線とか見たけど神田線も
[00:15:10] そうやしホエ線とかもそうかうんなんか
[00:15:14] もう簡単に低弾をされすぎこれでは厳しい
[00:15:17] よただ立つのはうまい今日ねうんお尻つい
[00:15:21] た状態が立つのはうまいし多分そういう
[00:15:23] 練習してると思うんやけど下になって
[00:15:24] しまうからうんで下から余計なことせず
[00:15:28] ちゃんと立とうとするからそこはいいと
[00:15:29] 思うしパンチはいいんやけどまでも雷人で
[00:15:33] 本当よく多いタイプと思う打撃は強いけど
[00:15:36] 組み技があんまりっていうねそんな選手
[00:15:39] かなって感じするけどでダウトベックえ
[00:15:43] また朝倉ミク戦とかも見たしこの前の松島
[00:15:46] 小線とかを見たけど改めててか松島小は
[00:15:49] 本当どこに向かってんのなんか試合決まっ
[00:15:51] てたよね本当にどこに向かおうとしてんの
