[00:00:02] 2024年首都圏初開催になりますヨボ
[00:00:05] プレゼンツR46え今週末に迫りました
[00:00:08] 大会をユネ恒例の勝敗予想で占っていこう
[00:00:11] と思いますえ司会は私アナウンサーの鈴木
[00:00:14] 子ですよろしくお願いいたし
[00:00:17] ますえさてえ毎回え豪華ゲスト人にえお
[00:00:21] 越しいただいているこの企画なんです
[00:00:23] けれども早速ですねご紹介したいと思い
[00:00:25] ますまずはえ雷人都子スーパートム級
[00:00:28] チャンピオンにしてえディープジュエルで
[00:00:29] もこないだまたさらに1本ベルトを追加3
[00:00:32] 回救世覇王者になりました伊沢成香選手
[00:00:35] ですよろしくお願いいたしますよろしくお
[00:00:37] 願いしますここ最近はいかがですか伊沢
[00:00:40] 選手ここ最近はねあのYouTubeを
[00:00:43] 頑張ってますおおなるほどはいで普段の
[00:00:46] 生活はあんまり変わらないそうですねコロ
[00:00:49] さんとま喧嘩したり仲良くしたりしてうん
[00:00:52] 3匹の可愛いペットにかれて幸せに過ごし
[00:00:55] てますいいですね幸せがもうねにじみ出て
[00:00:57] ますよありがとうございますはい
[00:00:59] ありがとうございますはいえそしてですね
[00:01:01] え熱い勝敗予想の好評でなんと連続出演を
[00:01:06] お願いしました白川ト選手ですよお願お
[00:01:09] 願いしますいやえこうやってまた連続で
[00:01:13] 呼んでいただけるなんてびっくりですもう
[00:01:15] 大好評ということでいや本当ですか本当に
[00:01:17] いや結構そんなうまいこと喋れてないと
[00:01:18] 思うんですいやいやいやいや喋りうまい
[00:01:20] じゃないですかいやいやいやもう今日も
[00:01:21] バンバン行きますねはいエジにかかって
[00:01:23] ますよろし願いしますよろしくお願いはい
[00:01:26] えそしてえ去年の大晦かですねもう皆さん
[00:01:29] 忘れもしないと思いますますえシュート2
[00:01:31] 階級同時制覇王者をノックアウトしてえ
[00:01:34] そして一気にえ埼玉スーパーリナをまた
[00:01:36] ヒートアップさせました広谷選手です
[00:01:38] よろしくお願いしますますよろしくお願い
[00:01:41] しますよろしくお願いしますヒ選手ね今年
[00:01:42] に入ってから3ヶ月ですかアメリカに行か
[00:01:44] れてましたよねはいそうですねえっとま2
[00:01:47] 週間前ぐらいにはい帰ってまし帰ってき
[00:01:49] ましたはいねどうでしたアメリカでの練習
[00:01:51] めちゃくちゃきつかったす本当ただそれ
[00:01:53] だけなんすけどま僕自身その格闘技として
[00:01:56] もやっぱ人としてもすごい成長できたんで
[00:01:59] はいその部分ではすごい楽しかったなって
[00:02:01] いう3ヶ月でしたうんなるほどね次の試合
[00:02:04] ね楽しみですけれどもあのjttの皆さん
[00:02:07] 今日揃い踏みということそうなんですよね
[00:02:09] なんかほんまにもういつものメンツなんで
[00:02:12] いつも同じ間帯ですか練習してるのって
[00:02:13] そうですねま大体そうですねですはいうん
[00:02:16] であの伊沢選手はねえこ最近本当jttに
[00:02:19] 介入されましたけれどもどうですかはい
[00:02:21] いやもうすごい環境も良くてうん先生たち
[00:02:26] も良くて仲間たちも良くてもう良いのは
[00:02:29] 集まりね良いの
[00:02:32] 集まり良いの集合隊いい感じです最高やん
[00:02:36] かそれねJ素晴らしいですねでもjtt
[00:02:39] って本当にあのねジャパントップチームっ
[00:02:40] て話題に耐えなくってあの新しい高知人が
[00:02:43] 入ったりとかするじゃないですかそうだ
[00:02:45] からこいアンポルキア選手が入ったんです
[00:02:47] よねそうすいやあれほんまだいやわかん
[00:02:49] ないすけどまだ1回も見てない見てまだ来
[00:02:52] てないよなんか2回ぐらいあのレスリング
[00:02:55] クラそうデコには来てたんですけど別に
[00:02:58] そのコーチにすとかそうあじゃないですか
[00:03:01] もしかしたらミク君がそうなんか勝手に
[00:03:03] 喋ってたのかもしれない自身もいやなんか
[00:03:06] あんま聞いてないけど言ってたんでいやで
[00:03:09] も俺的には来てほしいですけどね
[00:03:11] めちゃくちゃ教えるのうまいんすよ僕地元
[00:03:14] が一緒で角始めた時に打撃をこうルキアに
[00:03:17] 教えてあの教えてもらってたんですよ1番
[00:03:19] 最初に教えてもらってたのがルキアだった
[00:03:21] んで本当に言語化するのとかすごいうまく
[00:03:24] てだからまそうなったらめちゃくちゃ僕は
[00:03:27] 嬉しいですけどねええま確か安保選手ね私
[00:03:30] が取材した時時もやっぱり人に教えるの
[00:03:31] 得意だと言ってました自分でうんだから
[00:03:33] そういうことなんですようねへえなるほど
[00:03:36] なるほどさあ皆さんにはですね今日はです
[00:03:38] ねえ勝敗予想え46のねえ高カードが揃っ
[00:03:44] てますけれどもえそれぞれ皆さんえその中
[00:03:47] でまたね話題になってるカードなとも含め
[00:03:49] てえ皆さんに聞いていきたいと思い
[00:03:54] ますえそれではジ46勝敗予想に参り
[00:03:58] ましょうえメインにフェザータトルマッチ
[00:04:00] 王者鈴木千選手とそして挑戦者金原正典
[00:04:04] 選手を据えた全10試合がラインナップさ
[00:04:06] れていますえこの豪華なカードになりまし
[00:04:09] たけれども白川選手どうですかいやあの
[00:04:12] この大会もめちゃくちゃ面白そうですよね
[00:04:14] 日韓対抗戦もありそして何ようにこの
[00:04:17] フェザー級のタイトルマッチうんま同じ
[00:04:19] フェザー級としても非常に楽しみです
[00:04:21] フェザー級結構組まれてますもんねそう
[00:04:23] ですね中原選手も組まれたり山本選手もい
