[00:00:01] きしょきし
[00:00:02] 。どうもきしびんです
[00:00:08] 。さ、ちょっとテンション下がりました
[00:00:11] けど、えー、今日は、え、雷人男祭り、え
[00:00:15] 、直前ということで、え、勝敗予想やって
[00:00:20] いきたいと思います。なんかね、え、個人
[00:00:24] 的に勝手に決めてることで成準が発表して
[00:00:27] から、え、個人での最終勝敗要素やりたい
[00:00:30] なと思ってて、もう試合順がなかなか発表
[00:00:33] されなくて、ちょっと焦ってたんですけど
[00:00:35] 、はい。ようやく今日の18時にインスタ
[00:00:39] ライブで発表されててはい。今もう18時
[00:00:43] 半なんですけど、はい、ようやく、え、
[00:00:46] 語れるなと思っております。で、ま、散々
[00:00:49] ね、え、初敗要素やったし、川尻さんとも
[00:00:51] ね、え、やる時にもう俺の意見も結局
[00:00:55] めっちゃ喋っちゃって、え、あんま意味
[00:00:57] ないんじゃないかなっていう思いもあるん
[00:00:58] ですけど、ま、個人での勝敗予想とかね、
[00:01:01] え、感想を楽しみにしてくれてる人多いん
[00:01:04] で、え、これはこれでやっぱりきっちり
[00:01:06] やろうと思って、え、僕なりにしっかり
[00:01:08] 分析して、え、川尻さんと予想した時と
[00:01:11] また、え、勝敗予想も内容も、内容という
[00:01:13] かどちらか使ってのも変わってるんではい
[00:01:15] 。僕はもう展開予想とかするんだったらね
[00:01:18] 、やる意味ないと思ってるんで、はい。
[00:01:19] しっかりどっち勝つかっていうのをはい。
[00:01:22] え、言っていきたいと思います。はい。で
[00:01:25] 、え、終わったらね、え、今度は川尻さん
[00:01:28] に誘われて、え、川尻さんと感想動画を、
[00:01:32] え、5月5日に撮影して、で、その後その
[00:01:35] ままディープに行って、で、次の日にさ木
[00:01:38] さんと感想を、え、喋るという約束をして
[00:01:41] おります。はい。日本建て、ま、個人での
[00:01:43] 感想も当然やりますし、ちょっとね、
[00:01:45] ゴールデンウィーク忙しいんですけど、
[00:01:46] なんとか頑張っていきたいと思っており
[00:01:48] ます。はい。え、ではですね、え、試合順
[00:01:51] も発表されたんで、試合順が、ま、1試合
[00:01:55] 目がキックの試合でオープニング。
[00:01:58] えー、ちょっと僕ね、本戦から、え、解説
[00:02:01] 配信やろうと思っておりますんで、すい
[00:02:03] ません。はい。そういう風に考えており
[00:02:05] ます。ちょ、本戦からで許して欲しいです
[00:02:07] 。はい。で、オープニングファイト、え、
[00:02:10] 上田高尾vス
[00:02:13] ビニシウスから喋っていきます。てかね、
[00:02:17] 上田高尾さんのね、
[00:02:19] え、ファイターズフローで入会
[00:02:23] キャンペーンで僕の、え、女チャンネル
[00:02:25] 見たで、え、初期費用全部僕が負担するっ
[00:02:28] て5人分で、5人速攻埋まって、え、そっ
[00:02:32] からさっきちょっと全額きつかったんです
[00:02:34] けど、入会金を僕は負担するっていうの
[00:02:35] やってたんですけど、なんとですね、え、
[00:02:38] 4月32名入会者がいたみたいです。はい
[00:02:43] 。32名ですよ。でもマジ嬉しかったけど
[00:02:47] 俺マジ嬉しかった。あのまあ、ま、4月で
[00:02:51] ね、社会人で入りやすい時期もあるん
[00:02:54] でしょうけど、え、僕の入会キャンペーン
[00:02:57] というよりも、え、コラボして上田高尾
[00:03:00] さんの魅力とファイターズフローの魅力が
[00:03:03] 伝ったと思うんですけど、ま、あれ見て
[00:03:06] いいと思わんやつおらんと思うけど。はい
[00:03:09] 。上田高さの人間性も素晴らしいし、えね
[00:03:13] 、誰よりも親味になって教えてくれるし、
[00:03:17] え、本当格闘技するならおすすめです。
[00:03:19] 高田のババにあるんで。はい。もうマジで
[00:03:21] いいと思います。これ別にコラボしたから
[00:03:23] じゃないけど本当にま、いいと思ってる
[00:03:24] から俺もコラボしてるしね。はい。ともう
[00:03:27] 特におすすめかな。格闘技初めて。え、
[00:03:30] 特に寝技を襲われたい人。キックボクサー
[00:03:32] からの天校組とかも上田高尾さんのとこ
[00:03:33] 行くのがおすすめとなってます。はい。え
[00:03:37] 、で、この試合なんですけど、え、
[00:03:39] ビニシウスを僕あんまり分かってなかった
[00:03:41] んですけど映像を確認しました。はい。え
[00:03:45] 、試合映像も見て、え、1本負けで負け
[00:03:48] てる試合とかもあったし。うん。あと、ま
[00:03:52] 、試合よりもね、参考なのが西谷大勢と
[00:03:55] スパリングやってて。うん。あれいつの時
[00:03:58] か分からんけど、めっちゃ強いこれ。うん
[00:04:02] 。打撃めっちゃ回転力あるし。レスリング
[00:04:07] も強い。西タニから。ま、もちろんね、
[00:04:09] それあのキックボクシングルールでやって
[00:04:11] たんやけど、その中でタックル行ってた
[00:04:12] けど、ま、あれ見る限りレスリングも強い
[00:04:15] しで、え、ボサ名古屋でやってて、え、
[00:04:19] 広山2とかで教わってんのかな。寝技も、
[00:04:22] え、タみく、タみに1本負けしたりしてる
[00:04:26] けど、ま、そっからも上達してるでしょう
[00:04:29] し。いや、これ結構いいよ。この選手
[00:04:32] 見びってた俺。うん。で、上高尾さんがね
[00:04:36] 、え、6年ぶりとかで久しぶりの試合で
[00:04:40] どうなのかな。ま、ただね、普通の久し
[00:04:42] ぶりの試合と違ってやっぱね、セコンド
[00:04:45] つくのってすっごい緊張すんだよ。うん。
[00:04:49] やしなんか、ま、自分が試合するのとまだ
[00:04:52] 脇が違うけどでもそれに近い体験はできる
[00:04:55] と思う。試合前のね、気持ちの持っていき
[00:04:57] 方とかイメージできると思うから。うん。
[00:04:59] 久しぶりの試合っていうのもこの他の選手
[00:05:02] の6年ぶりとは訳けが違うかなと思うんや
[00:05:04] けど。
[00:05:05] うん。でも、え、ま、打撃だったら10中
[00:05:09] ハックビニシウスと思う。はい。10中
[00:05:12] ハックビニシウスは勝つと思うし、上田
[00:05:14] 高尾さんを、え、過去の映像とか見ても
[00:05:17] やっぱフィニッシュできる打の武器はない
[00:05:20] と思う。うん。でもやっぱ分析力にたけ
[00:05:23] てると思うよな。上田さんってこんだけ
[00:05:26] セコンドとかずっとやってるし、打ち込み
