[00:00:00] ハローハロー。
[00:00:02] え、まだ恥ずかしいが、
[00:00:04] 全然恥ずかしい。ちょっと自分が嫌になりそうだった。いい、いいのかな?そ、じゃあ行きますよ。で、はいってなんかこう、
[00:00:07] [笑い]
[00:00:11] もう普通に慣れちゃってる自分がちょっとこのまでいいのかな?
[00:00:14] いや、冒頭来て大事なんでね。はい。
[00:00:16] え、今日まねとかね。
[00:00:18] はい。そう、そう、そう、そう。今日は川尻さんいつもの恒例の
[00:00:21] はい。ありがとうございます。
[00:00:22] 雷人51
[00:00:23] の勝敗予想でまたアンディに来ていただいて
[00:00:26] すいませんね。こっちに来ていただ
[00:00:27] いや、全然。はい。
[00:00:28] あの用事あるんでこの後
[00:00:29] ありがとうございます。で、今日はあのバイタスさんの
[00:00:32] はい。
[00:00:33] プロテインキイ味を飲みながらやっていこうかなと。
[00:00:35] そうなんです。
[00:00:36] 個人さんからこれ言ってくれたんすよ。それ飲みたいって言って。
[00:00:39] そうなんです。ちょうどね、
[00:00:40] あの買ったんですよ。プロテインをバイタスの。な
[00:00:43] んでかいうと俺は違うプロテインを毎日飲んでるので
[00:00:46] はいはい。
[00:00:47] で、娘もね、もう小学校
[00:00:49] 5年生ぐらいからずっと飲ませてたの。
[00:00:51] へえ。
[00:00:52] 今もう大きくの手はしてないんだけど
[00:00:55] 2
[00:00:55] 年ぐらい毎日週末とかねてスクワット腹筋とか
[00:00:59] マジすか?はい。
[00:01:00] フィジカルがフィジカル期待とかもなんとかなるじゃん。
[00:01:02] はい。でも何を目指してるかに言るけどはい。ま
[00:01:05] あ、そういうこと言っちゃうの?何目指してとか
[00:01:07] 1
[00:01:07] 番言っちゃだめ。格闘化。それ言われたらめっちゃ悔しいやつでしょ?格闘化が。
[00:01:11] いやいや違ファイター目指してるんだったらやったらいえけど。
[00:01:13] いやいやま
[00:01:14] いや。健康Bのために
[00:01:15] でもタンパ質は超大事ですからね。
[00:01:17] そうそう。
[00:01:18] あの、美のために髪とか肌とかも全部ね、爪とかもタンパしたから、
[00:01:23] あの、美容のためにプロテイン飲みなって言って、で、プラスほら、やっぱりさ、今の日本、今じゃなく日本の女性ってほら痩せようとするガリガリガリガリ好きな人がいるからさ。
[00:01:29] [音楽]
[00:01:35] だからさ、いや、もっとちゃんとちゃんとついてるとこついて
[00:01:38] はい。
[00:01:39] こうグラマラスな、こう、女性らしい体はい。
[00:01:42] になれるようにトレーニングもしてて
[00:01:44] はい。だけど本当ね。
[00:01:47] はい。
[00:01:47] あの、それを奥さんに聞いたら最近飲んでないと
[00:01:52] はい。はい。
[00:01:52] 俺ずっと飲んでると思ったから俺と一緒のプロテイン。え、マジで?なんで飲ませないの?だって
[00:01:57] はい。はい。
[00:01:58] 大事だって絶対女性って特にあの栄養素足りてないから足りてないらしいとか。はい。本人だから絶対取らせないとダめだな。なんで取らせないのって言ったらもうなんか味に飽きたと。
[00:02:11] なるほど。
[00:02:11] 言われて
[00:02:12] そこでバイタスさんの登場。
