[00:00:00] 次が第9試合久保優太Vラジャブアシェイ
[00:00:04] ドライオフうん俺の大好きなフ来ました
[00:00:10] マジでこの選手は好きでまも誰もが分かっ
[00:00:13] てることだけどもう本当飛び抜けてるよね
[00:00:15] 全選手含めてもあれサトシもそうかうん
[00:00:19] サトシとフはえもうマジ飛び抜けてる
[00:00:24] UFCでも十分通用すると思う
[00:00:26] チャンピオンベルトを狙えるような男と
[00:00:28] 思ううんシェイドライフマジで強いえ
[00:00:32] 対する久保優太はえねK1から来ててもう
[00:00:36] キックボクサーとしては本当にね世界屈し
[00:00:40] のファイターで
[00:00:41] えねえグローリーとかでもチャンピオンに
[00:00:44] なってるのかまも誰が考えても強いね
[00:00:46] やっぱ平本レよりもあのねいい時の久優太
[00:00:50] た全然打撃だっと上回るでしょうし久保
[00:00:52] 優太に勝てるやつなんかなかなかてかおら
[00:00:54] んのじゃないキックボクシングでぐらい
[00:00:57] 強くてただスピードタイプでそんな
[00:00:59] フィジカルとかはねえフィジカルとかま
[00:01:01] パワーないからえ俺MMAは向いてないん
[00:01:04] じゃないかなと思っておりましたただ朝
[00:01:06] クラミは最初から今までやった中でキック
[00:01:09] ボクスと色々やった中で1番mm向いてる
[00:01:11] とか言ってたらしいよねうんそれに関して
[00:01:14] はやっぱり俺のね目が間違えてたと思うし
[00:01:17] えまでもやっぱ向いてる要因としてさっき
[00:01:20] 梅の現地の時に言ったけどまず首もすごい
[00:01:24] 得意やんで首も得意なやつってやっぱもう
[00:01:26] レスリングがある程度対応できると思う
[00:01:30] 首相撲てもレスリングみたいなもんやし
[00:01:32] うんそれプラスやっぱ久保優太は距離が
[00:01:36] 遠いよね普通のキックボクサーよりそれ
[00:01:39] マジあると思うわ系ボクサーでもキック
[00:01:43] ボクサーでもインファイターはMMAに
[00:01:45] 向いてないともそんな対応できるわけない
[00:01:47] もんそんな距離じゃないからMMAって
[00:01:50] 久保優太はめっちゃ遠いもんね
[00:01:54] キックボクシングの距離がそもそも距離
[00:01:56] 設定がそら対応できるわごめんちょっと後
[00:01:59] じゃけになっちゃうけど私じゃんけん後
[00:02:01] からちょっと考えてみたらやけどうんK1
[00:02:04] の時から本当MMAの距離で戦ってるもん
[00:02:07] ねそれ別にMMA意識してじゃなくても
[00:02:09] 元来そういう感じなんでしょうけど距離感
[00:02:12] がいいから対応できた気がするでもね
