[00:00:00] 8月17日に開催されるUFC319
[00:00:03] メインカードの注目の1戦朝倉会Vキム
[00:00:05] エリオットの直前となりました。雷人から
[00:00:08] UXCへ参戦する朝倉会選手にとって元
[00:00:10] フライ級タイトル挑戦者であるエリオット
[00:00:12] 選手は決して簡単な相手ではありません。
[00:00:15] 今回の動画ではUFCの現役そして
[00:00:17] レジェンドファイターたちが語るこの試合
[00:00:19] の勝敗予想や彼らが考える勝敗の鍵を
[00:00:21] まとめました。まず最初にUFCミドル
[00:00:23] 級王座を2度も獲得し、芸術的な
[00:00:25] ストライキングで数々の慶王勝利を飾って
[00:00:28] きたイスラエルアデさんや彼はこのように
[00:00:30] 分析しています。朝倉会について詳しく
[00:00:32] 調べてみたところとても攻撃的で凶悪でし
[00:00:34] た。そしてとてもダイナミックだ半島に
[00:00:36] 出さえ彼は攻撃を当てていました。結局
[00:00:39] 半島が嵐を超えてカを倒したのです。
[00:00:41] ティムエリオットも攻撃的な男だ。パンチ
[00:00:43] を繰り出し、スクランブルやレスリングの
[00:00:45] 仕方を本当に上手に知っている。カは爆発
[00:00:48] 的な力は持っている。ティムは関当者の
[00:00:50] 真似をしようとするでしょう。彼らは暗級
[00:00:52] だからスピードが早いだろうが、それは彼
[00:00:54] らのレベルが高いからです。キムは長期
[00:00:56] 休暇の後の試合に彼との戦いを選んだ。
[00:00:59] この戦いを引き受けたキムに声援を送り
[00:01:01] たい。私は会が勝つと予想。しかしティム
[00:01:03] を慶王するのは難しい。今回は5ラウンド
[00:01:05] ではなく3ラウンドです。カはガソリン
[00:01:07] タンクの心配をする必要もなく最初から
[00:01:10] 爆発するかもしれないペースを制限する
[00:01:12] 必要がなく試合ではグラップリングの体力
[00:01:14] に問題があったため今回の試合に向けて
[00:01:17] 万全の準備を整えてきたはずですと安倍
[00:01:19] さんは分析しました。続いてその圧倒的な
[00:01:21] 手数を誇るボクシング技術と誰にも真似
[00:01:24] できないタフな精神力でUFCフェザー級
[00:01:26] の絶対王者として君臨したマックス
[00:01:28] ホロウイタはすごい選手だと分かっている
[00:01:30] し日本の団体でチャンピオンだったことも
[00:01:32] 知っている。でもなぜ彼にストライカーを
[00:01:34] ぶつけるんだ。買とかならもっと面白い
[00:01:36] 試合になっただろうにティムは打撃で勝負
[00:01:38] するかもしれないがグラウンドになったら
[00:01:40] 圧倒的に有利だと思うんだ。ティムは
[00:01:42] グラウンドで本当に変態的でグラウンドの
[00:01:44] 技術がものすごく高い。のグラウンドは
[00:01:46] 王者である半島と戦ったことで経験を積ん
[00:01:49] でいるけどはまた違うタイプのグラウンド
[00:01:51] 技術を持っている。これはカにとって
[00:01:53] ひどいマッチメイクだと思う。日本の格闘
[00:01:55] 議会を盛り上げたいのは分かるけど、この
[00:01:56] マッチメイクは違うんじゃないか。ティム
[00:01:58] の打撃はできるけどグラウンドになると
[00:02:00] 本当に厄介なんだ。彼は変速的で非常に
[00:02:02] うまいからグラウンドでカを苦戦させる
[00:02:04] だろう。もちろんカが打撃でティムを負傷
[00:02:06] させてそのままグラウンドアパウンドで
[00:02:08] 仕留める可能性もある。ティムが打撃で
[00:02:10] 聞かされてグラウンドアパウンドでやられ
[00:02:12] た試合も見たことはあるからね。心ではカ
[00:02:14] を応援したいけど、頭ではティムが勝つと
[00:02:16] 思っている。カにとっては厳しい試合だ。
[00:02:18] 俺はティムにかける。ティムが
[00:02:20] サブミッションか。グラウンドアンド
[00:02:21] パウンドで決めきれなくてもグラウンドで
[00:02:23] コントロールし続けて判定がちするだろう
[00:02:25] 。ティムの勝利と予想するとホロウは分析
[00:02:27] しました。続いてUFCフライ級の絶対的
[00:02:30] 王者として長きに渡り君臨し、元ライジ
[00:02:33] バンタム級王者の口教授にも勝利する
[00:02:35] など級を知り尽くしたレジェンドである
[00:02:37] デメトリアスジョンソン。彼はこのように
[00:02:39] 予想しています。キムエリオットは私の元
[00:02:41] 対戦相手でもあります。タイヤさの最大の
[00:02:43] 強みは打撃にあります。しかしフライ級で
[00:02:45] 新王者に、そしてパウンド4パウンド最高
[00:02:48] の選手であるアレックスパトと対戦した時
[00:02:50] できることはあまりありませんでした。
[00:02:52] なぜなら関頭者は全てにおいて優れている
[00:02:54] からです。しかし今回会にはUFCで再期
[00:02:57] のチャンスが与えられました。相手はキム
