[00:00:00] 行きます。スーパー。ハロハロ。
[00:00:03] あナ。
[00:00:04] 今あナって言いかけて危なかった。
[00:00:07] あれ?ジ型なんか
[00:00:10] 変わってない?
[00:00:10] 髪型変えてます。
[00:00:11] ここ際がちゃんと沿って剃ってあるよ。
[00:00:13] そうなんすよ。あのフェードって言うんでしたっけ?
[00:00:15] 今もう一流美容師に。
[00:00:18] いや、そんな色削って
[00:00:20] はい。ダムディという北千住のところに行ってます。
[00:00:22] あ、北千住。
[00:00:23] え、ジ備みたいな髪型にしたかったらそこに
[00:00:25] そう。野村俊太とか牛純じ太郎も行ってるんじゃないかな。
[00:00:28] あ、みんなフェード系やもんな。
[00:00:30] 結構ファイター系が行っててめっちゃいいっすよ。
[00:00:33] 男性なんすけど。
[00:00:35] 俺もフェ道ヘド。
[00:00:36] あ、確かに
[00:00:39] 神やろ、俺。
[00:00:39] 確かに同じような髪型
[00:00:41] そり。
[00:00:41] 紙剃りでやってるぞ。
[00:00:42] うん。もうこう髪剃りじゃないと嫌や、俺。
[00:00:44] ああ。ま、めちゃくちゃ薄くした方がいいすもんね。
[00:00:46] うん。な、髪でやってもらったら全然ちゃうで。
[00:00:49] やってもらってる気がするな。
[00:00:50] 髪剃りで。もうこれ2週間に1
[00:00:52] 回ぐらい行ってるんですけど。
[00:00:52] うん。ていうか今日は久しぶりということで
[00:00:54] 久しぶりっすね。
[00:00:55] もうあの帰ってきましたよ。民
[00:00:57] はい。民生活から
[00:00:59] もうつ病なってんのかなと思って。
[00:01:01] いやいや、そんなこと言ったかよ。そんなこと言ったらそんな悩んではる人に対して失礼やで。
[00:01:05] そうっすね。
[00:01:06] そうやね。そういうこと。
[00:01:06] いや、でも元気ないんじゃないかなと思って試合終わっていった。
[00:01:09] 燃い尽きて
[00:01:11] ね。燃いつき証拠軍一瞬パって行って
[00:01:13] はい。
[00:01:14] こっち来。
[00:01:15] え、でもやっぱたんすか?
[00:01:16] もうそらやみまくりよ。
[00:01:18] あ、マジっすか?
[00:01:18] もうだ見てこれ。ここもうニキビできて分かる。これブツブツだいぶ減ってきた。
[00:01:22] おやっぱストレスで
[00:01:24] もうこれストレスなんですよ。みんな助けてください。ほんまに
[00:01:26] ねえ。
[00:01:27] いやいや、そんな話しない。それカット、カット。それカット。ほら、すぐあのうちうちの話をね、神長のことで僕喋るじゃないですか。こう友達やから。それをね、言ったらあかんことはまだい、賠償商金。賞金ちゃうわ。
[00:01:46] 賠償金賞金。
[00:01:48] 賞金でもらえるやん。じゃあ賞金プラスで賠償金。はい。
[00:01:53] あの、そう、そう。けど今日はね、
[00:01:55] ちょっとジョ備んとこ来て。はい。
[00:01:58] はい。
[00:01:59] ちょっと最近ね、僕ね、動画あげて
[00:02:01] 5
[00:02:01] 月1日誕生日やったということで
[00:02:03] はい。はい。はい。そう。誕生日、あ、誕生日おめでとうございます。
[00:02:05] あ、ありがとうございます。
[00:02:07] ちょっとプレゼント渡していいですか?あの、
[00:02:09] え、プレゼントなんかあんの?
[00:02:11] これ、あの、ジョの商品券で
[00:02:14] うわ、マジで売ってろん?
[00:02:16] はい。あの、
[00:02:17] ちょっと待ってたね。
[00:02:19] そらさんすごい言いづらいことが1
[00:02:20] 個だけあるんですけど
[00:02:22] 僕ね本当に言いづらいんですけど
[00:02:25] 5万円で統一してるんですよ。
[00:02:26] ああ、いや、そんな5万円も回ってるん?
[00:02:29] そ、そうなんですけど、これ本当にね、嘘じゃなくて聞いてください。バレンさんに
[00:02:32] 5
[00:02:33] 万円分渡したんですけど、これ本当スラさんで
[00:02:35] なんか額作業とか本当全くなかった。
[00:02:37] 3万円分しかなかった、これマジで。
[00:02:39] うん。
[00:02:40] あ、そういうことですよ。そういうことですよ。そういうことですよ。
[00:02:43] これマジであの本当に学先をとか
[00:02:46] 人見てきた。登録見てきた。
[00:02:48] 者数で学判断して
[00:02:51] 3万円しか本当なくて
[00:02:53] いやいやいやでもこれ
[00:02:53] すいません本当にあのちょっとあの残りの
[00:02:55] 2万円部ちょっとなんか飯奢てください。
[00:02:57] これどうどういうこと?これなんかほんまに登録者数とか
[00:03:00] 3点
[00:03:01] なんかスラサさんやからちょっとバレさんやる作業とか本当に違くてもうあのそうすいませんのちょっと
[00:03:06] いやいやでもねなんかやっぱジ備優しいな
[00:03:09] 俺そんなね俺たまたま今日ね
[00:03:11] 5
[00:03:11] 月1日誕生日やって
[00:03:13] 今日2日で
[00:03:14] なんか俺嫌なタイミングでなんかコラボしたな
[00:03:17] いや去年何もできなく申し訳ないであのちょっとちょっとあと雪怒らしてください残り
[00:03:21] 2
[00:03:22] 俺本当マジ申し訳まただジ円は本当みんな好きと思うんで
[00:03:26] いじゃあジさんありがとうございます。
[00:03:28] はい。食べてください。家族で。
[00:03:30] いや、嬉しい。3万円。
[00:03:31] ま、愛人と言ってくれてもいいし。に任せます。
[00:03:34] 3
[00:03:34] 万円。これ徐々になかなか行かれへんからね。
[00:03:36] ありがとうございます。めっちゃ嬉しい。
[00:03:38] はい。すいません。ちょっと額あれなんですけど。
[00:03:39] いやいや、ほんまね。僕も僕45歳。
[00:03:41] 45歳ですか?
[00:03:43] はい。迎えましたよ。
[00:03:44] あ、僕の大好きの梅原大子と一緒。あ、そっか。バレンさんとも一緒のか。
[00:03:47] 一緒。一緒。40
[00:03:49] でも俺40歳ぐらいの時から45
[00:03:51] 歳ぐらいが45
[00:03:52] 歳がピーク来るなっていう。そういう設計で来てんねん。はい。へえ。
[00:03:56] だから前回負けたの44歳で負けてるや。
[00:03:58] だからこの45歳のこの書き上がり
[00:04:01] 色々あるんで。
[00:04:02] そう。いや、でもそれでき続けるのまかっこいいすけどね。
[00:04:06] ま、でも俺もな、やっぱやってる以上はやっぱ今の目標としてはまず復帰して勝つっていうところやけどやっぱディープのチャンピオン
[00:04:14] 絶対に俺とおるんでこの
[00:04:15] 45
[00:04:16] 歳の行きそこはこうみんなに見て見届けてほしいなと思ってるから
[00:04:21] はい。もうでもこれでチャンピオンだったらマジかっこいい。
[00:04:24] まあね、こういうね、挫折もありながらバレンタインもそうや、あの日本チャンピオンになってるけど、
[00:04:30] そこでちょっと挫折も挫折ってか、ま、こう
[00:04:32] 足踏みもして最後取ったわけやんか。
[00:04:35] そうね。
[00:04:35] で、ジョビもベルト取ってな。
[00:04:37] まあ、バレンさん、ただの日本チャンピオンレベルなんで。
[00:04:39] おい、青き深夜か君は。
[00:04:46] ちょっとその話しましょう。
[00:04:47] いや、これね、俺それでちょっと動画内で俺やっぱ見ててない。
[00:04:51] むかつくこと結構あって。
[00:04:53] はい。はい。はい。中に、
[00:04:54] あ、見たんですか?
[00:04:55] Xで
[00:04:56] なんかこの青木深夜とバレンのこの書き合いで
[00:04:59] なんか結構青木深夜が結構グサぐサ言ってる
[00:05:03] 切り抜きがあってなんやこれ思って
[00:05:05] ほんで俺ベッドにいながらこうやって見て動画
