[00:00:01] わなんかエネルギーすごいしそうすねだ
[00:00:04] からそのお互いま触れたことある同士で
[00:00:06] やってもうんたさその動きに合わせて
[00:00:09] どんどんどんどん動きを大きくしてくで
[00:00:11] どっかで
[00:00:13] [音楽]
[00:00:24] 崩せはいこんにちはじ今日ははいえ本日は
[00:00:29] 大臣493大タイトルマッチの勝敗予想
[00:00:33] やっていきましょうよろしくお願いします
[00:00:36] この大晦追い込まれたねこのタイトル
[00:00:40] マッチ3つをねはい掘っていくわけですね
[00:00:42] でまず1つ目フライ級タイトルマッチ堀口
[00:00:46] 教授隊エカジムズール
[00:00:50] おおはいタイトルマッチますねねこれね
[00:00:53] 意外だったよねズール選手は前回え新井城
[00:00:57] 選手をケしてますがうんまただその一生
[00:01:01] だけていう雷人ではその一生だけていう
[00:01:03] ことでうんあれですよ昔仰さんてやってん
[00:01:07] ですよねそうですねUSCのタグタグはい
[00:01:11] ただま雷人ではその一生はいだけなので
[00:01:15] こう実績的にどうなのか結構ねま大的
[00:01:18] みたいな感じだねはいはい堀口選手は前回
[00:01:21] セルジオペティス選手とえバンタム級で
[00:01:25] リベンジマッチで勝利してますでまフライ
[00:01:27] 級では新選手と昨年脳みそかやってこちら
[00:01:31] も最後パウンドからの爆直で勝利しており
[00:01:36] ますうんはい勝敗予想からやりますか予
[00:01:40] からはいまなんか分かりきってる気はする
[00:01:42] んだけどせーのこれなわけですよねはい
[00:01:47] ただ唯一懸念点は体重差が大丈夫かって
[00:01:50] いう3倍くらいある
[00:01:53] でしそそのズルズールズルイニシエの
[00:01:57] ズールイシエじゃない
[00:02:00] じゃ正直言ってもう勝てるはずないしな
[00:02:05] もう本当率直にもうそのまんまはいまただ
[00:02:08] ズール選手こう背が高くて多彩な蹴りうん
[00:02:13] もあるので法律選手は結構頭を下げる癖と
[00:02:17] かもあるので膝が顔に当たるみたいな
[00:02:20] シーンが出てくると決してうれ強くはない
[00:02:23] のでまそうですねあの唯一そのちょっと
[00:02:26] 懸念点としたらま金太郎戦のダウンしたと
[00:02:31] とかを考えると要は体の大きい
[00:02:33] ストライカーが少し苦手とする部分がある
[00:02:36] のかもしれないからうんまそこで唯一ま
[00:02:38] ズールからすればワンチャン今に膝を当て
[00:02:41] たりとはい狙ってタックルに膝を合わせて
[00:02:45] とかて無理だと思うんだけどま何かの
[00:02:48] タイミングの表紙がずた時にこううん
[00:02:50] バックキックがあったりとかねこういう
[00:02:53] ことしかありえないと思うんだけどな
[00:02:55] ちょっと偶然じゃないですホ手ちゃんと周
[00:02:58] 読むしタイミング読むからたくりに何か
[00:03:02] バチっと膝合わせるとかて無理だと思うん
[00:03:04] だよね堀選手が考えもしないものずる用意
[00:03:07] してこれるかどうかなるほど飛び道具的な
[00:03:11] うんだから当日
[00:03:15] 本物
[00:03:17] 本物全部本物です入れ替わってるかもしれ
[00:03:20] ないでもだいぶ年行ってますよまだから
[00:03:24] 本当に1個あるとしたら
[00:03:27] このこうこっちがだとしたらねこう前足側
[00:03:31] にこう入ればタックルはい膝合わせられ
[00:03:34] づらいよみたいなあるじゃんそっち側に
[00:03:37] こう回転切りでバックヒック合わせるああ
[00:03:39] なるほど外を利用しただけありとしたら
[00:03:43] うんかバックエルボはいはいがたまたま
[00:03:48] 当たったしかないて思っちゃうなはい圧倒
[00:03:52] してほしいシンプルにはい世界プライ級
[00:03:55] 最強の男だっていうのをこう世界に知ら
[00:03:57] しめてほしいですねもう一度はいはいはい
[00:04:00] はいえ続いていきましょうライト級
[00:04:03] タイトルマッチホベルトサトザ対ガール
[00:04:06] ケラマ俺ねタイトルマッチをほら1日ア
[00:04:10] されたでしょその時Twitterでさ見
[00:04:12] て最初堀口選手見たの堀口選手え1人で声
[00:04:17] 出た次このケラモフのタイトルマッチえ
[00:04:22] 確か一番びっくりしたかもしれでかい声出
[00:04:24] ちゃったマジでって言って衝撃だったはい
[00:04:28] そう来たかと僕はね常々言ってたんです
[00:04:31] けどもしもサト選手を止めるとしたら
[00:04:35] サイフじゃないかと言ってたんですムサイ
[00:04:37] の相棒出てきた確かにそうですねでも練習
[00:04:41] とか見てるとむさ普通にバチバチやってる
[00:04:43] もんねでまこの間の体見てもすごかったし
[00:04:46] まちょっとそこでどうなのってとこで勝敗
[00:04:49] 予想行ってみましょうかこれはかなり
