bout_id	event_id	event_file	date	red	blue
rizin49-07	rizin-49	rizin-49.json	2024-12-31	福田龍彌	芦澤竜誠
rizin49-08	rizin-49	rizin-49.json	2024-12-31	YA-MAN	カルシャガ・ダウトベック
rizin49-09	rizin-49	rizin-49.json	2024-12-31	久保優太	ラジャブアリ・シェイドゥラエフ
rizin49-10	rizin-49	rizin-49.json	2024-12-31	元谷友貴	秋元強真
rizin49-11	rizin-49	rizin-49.json	2024-12-31	伊澤星花	ルシア・アプデルガリム
rizin49-12	rizin-49	rizin-49.json	2024-12-31	ホベルト・サトシ・ソウザ	ヴガール・ケラモフ
rizin49-13	rizin-49	rizin-49.json	2024-12-31	堀口恭司	エンカジムーロ・ズールー
rizin49-14	rizin-49	rizin-49.json	2024-12-31	鈴木千裕	クレベル・コイケ
rizin50-01	rizin-50	rizin-50.json	2025-03-30	魚井フルスイング	赤田プレイボイ功輝
rizin50-02	rizin-50	rizin-50.json	2025-03-30	越智晴雄	中務修良
rizin50-03	rizin-50	rizin-50.json	2025-03-30	万智	パク・ソヨン
rizin50-04	rizin-50	rizin-50.json	2025-03-30	泉武志	スパイク・カーライル
rizin50-05	rizin-50	rizin-50.json	2025-03-30	前田吉朗	横内三旺
rizin50-06	rizin-50	rizin-50.json	2025-03-30	伊藤裕樹	トニー・ララミー
rizin50-07	rizin-50	rizin-50.json	2025-03-30	横山武司	木村柊也
rizin50-08	rizin-50	rizin-50.json	2025-03-30	萩原京平	トビー・ミセッチ
rizin50-09	rizin-50	rizin-50.json	2025-03-30	酒井リョウ	エドポロキング
rizin50-10	rizin-50	rizin-50.json	2025-03-30	ルイス・グスタボ	野村駿太
rizin50-11	rizin-50	rizin-50.json	2025-03-30	鈴木千裕	カルシャガ・ダウトベック
rizin50-12	rizin-50	rizin-50.json	2025-03-30	井上直樹	元谷友貴
