[00:00:00] フィジカルの成長です多分ねみんなが思っ
[00:00:04] てるより
[00:00:05] めちゃくちゃ
[00:00:07] フィジカルストコントロールを許したり
[00:00:09] 木村
[00:00:11] こういう技は結構あっけなく決まっちゃう
[00:00:13] んじゃないかな
[00:00:14] [音楽]
[00:00:30] はいこんにちは
[00:00:32] 今日は久しぶりに4人
[00:00:36] 今日は本日は
[00:00:39] RIZIN45の
[00:00:41] 牛久淳太郎対萩原恭平このカードについて
[00:00:44] 最後を
[00:00:46] 楽しみ
[00:00:48] せっかくねこんな揃った
[00:00:51] ちょっといきなり結論から性能でいき
[00:00:54] ましょう
[00:00:58] 僕ちょっと後出し
[00:01:04] 行くよ
[00:01:06] せーの
[00:01:08] 牛
[00:01:09] ね
[00:01:13] なるほどね
[00:01:14] まあそれ過去のね実績とか
[00:01:18] 見比べてみればねまあそういうふうに思う
[00:01:22] のかなと思うけど
[00:01:24] 浅はかですね
[00:01:31] どうやって
[00:01:32] 牛久選手が萩原選手
[00:01:35] これやっぱりあれです
[00:01:37] ね
[00:01:49] まあでも実際に今までそのちょっと
[00:01:53] レスリングの部分で結構あんまり展開作っ
[00:01:57] てこなかったよ選手がアメリカに行って
[00:01:59] 冷水の展開を作ることによってそこがこう
[00:02:03] 今までの試合で言うと弱点でもある
[00:02:07] 萩原選手に
[00:02:10] 上回るだろう
[00:02:15] めっちゃ解説してくれました
[00:02:17] [笑い]
[00:02:25] 牛久選手がこれまで勝ってきた世代って
[00:02:28] いうのはものすごくねこう
[00:02:30] キックボクシングを大事にし
[00:02:32] て作戦とかを今までキックボクシングの
[00:02:35] 作戦がすごく試合の準備の段階でしてた
[00:02:38] ところ
[00:02:39] それが
[00:02:41] 変わるところは自分のストロングポイント
[00:02:44] を
[00:02:45] 捨てるっていうことにもなり
[00:02:48] そして対戦相手はそのキックボクシングの
[00:02:52] 展開においては
[00:02:54] 大臣フェザー級ナンバーワンなんじゃない
[00:02:57] かと思うんです
[00:02:58] けど抜群の選手回転力パンチもあります
[00:03:02] はい
[00:03:04] そしてスーパーカーフティックもあります
[00:03:07] 牛久選手はなので今回
[00:03:09] 愛奴は避けるでしょオーソドックスの戦い
[00:03:12] を避けてサウスポーにするんじゃないこの
[00:03:15] 時点でちょっと
[00:03:19] 崩されてるか
[00:03:24] ちょっと考え直してきた
[00:03:26] 確かに
[00:03:29] 僕は
[00:03:31] 牛久選手がどこかのタイミングでタックル
[00:03:34] ないしは
[00:03:36] 窓をタックルでサードバックを取って
[00:03:41] 萩原選手
[00:03:42] カイルアゴン戦の時にすごく後ろを向いて
[00:03:46] ディフェンスするっていう
[00:03:47] 場面があったので
[00:03:49] 牛久選手がバッグを取って
[00:03:51] 視線寝かせて
[00:03:53] 萩原先生に立たせて
[00:03:55] 展開が続き限られて削れていって最終的に
[00:03:59] は組でコントロールして勝つ
[00:04:02] なるほどまあそれが一番こう考える
[00:04:04] シナリオかなと思うんですが
[00:04:08] 買える顎温泉削れなかったよ
[00:04:12] その展開だった
[00:04:14] 帰るのが疲れ
[00:04:16] た
[00:04:18] あの試合でおそらく
[00:04:22] 萩原選手は状態をコントロールされない
[00:04:24] ことだけを考えて
[00:04:27] こう思っております
[00:04:30] 画角に入れな入る
[00:04:32] 範囲内でちょっと
[00:04:33] 実践しますね
[00:04:36] 疲れてこの上をちょっと胸を
[00:04:39] 肩甲骨の方に合わせていこう上と
[00:04:41] コントロールされることこれをすごい嫌
[00:04:44] がって
[00:04:45] 徹底してこの下に落として
[00:04:47] なるほど
[00:04:48] 落としてたんだけどずっとこのままこれ
[00:04:51] 以上上に上がらせないってことを徹底して
[00:04:53] やっ
[00:04:54] てる多分作戦があるんですよ正直言って
[00:04:58] この作戦はでも本当はバック取られてるか
[00:05:01] が削れるシーンだよねそうですずっと取ら
[00:05:04] れてるからでも削れなかった
