[00:00:01] せーの。
[00:00:02] ハローハロー。
[00:00:04] え、川じさんと
[00:00:05] よろしくお願いします。
[00:00:06] どうもね、来人、え、公式解説でワンワン干されちゃいました。川じさんと来人について
[00:00:13] はい。来人もいつかされるかもしれないんですけど。
[00:00:16] そうですね。
[00:00:16] それでもやってくれますか?
[00:00:17] もちろんです。もちろん。でもしもしそうなっても
[00:00:20] はい。
[00:00:21] もちろんです。もうやり続けましょう。
[00:00:23] ありがござい。ありがとうございます。
[00:00:24] はい。
[00:00:25] 僕が炎上しても是非もいくらでもやります。
[00:00:28] はい。来人非公式解説として
[00:00:31] その時は参加しますんで
[00:00:32] いや、でもずっと続けてほしいで川さんの解説いいすけどね。中立で
[00:00:36] 頑張ります。
[00:00:37] はい。
[00:00:38] で、あ、僕そに販売すると買います。買います。マジで。
[00:00:42] それめっちゃ嬉しかったすよね。
[00:00:44] いやだ。あれめっちゃいいじゃん。
[00:00:45] はい。めっちゃいいっすよね。デザイン
[00:00:46] めっちゃ可愛い。デザ金かけてんな最木さんと思って。
[00:00:49] はい。
[00:00:50] もすごいよね。
[00:00:51] ちゃんと本当やるんだっていうね。
[00:00:52] そうね。5
[00:00:53] 月4
[00:00:53] 日のディープの会場でとりあえず販売して
[00:00:55] で100枚しかないんでしょ。100
[00:00:56] 枚限定で一旦
[00:00:58] マジで即感すると思うよ。
[00:01:00] しますかね。100
[00:01:01] 枚じゃさ、絶対すぐ売れるでしょ。
[00:01:03] ディープ25周年のT
[00:01:05] シャツも販売されるんですよ。ま、別で。
[00:01:07] それより正直売りたい。
[00:01:09] いや、絶対売れるでしょ。
[00:01:10] ま、僕グッズって初めてですからね。グッズだけど、
[00:01:12] T
[00:01:12] シャツ、あの、ネックレスは販売したことあったけど、
[00:01:14] Tシャツ初めてなんで消価値もあるしうん
[00:01:18] ね。なんつうか売ろうと思って売で買って
[00:01:20] 1個取っといてXL買うから。
[00:01:22] マジですか?
[00:01:23] いや、マジでマジで。XL。
[00:01:24] XL。
[00:01:25] あ、Lじゃないんですか?
[00:01:26] XLです、僕。
[00:01:28] マジすか?
[00:01:28] うん。え、ど、何?L?
[00:01:30] 僕Lです。L
[00:01:31] でちょうど良かったけど。
[00:01:32] え、あ、まあ、ちょうどいいのはL
[00:01:33] かな。確かに。ちょっとでかめでた。わかりました。ありがとうござい。
[00:01:36] で、お願いします。
[00:01:37] はい。
[00:01:37] はい。
[00:01:38] じゃあ、え、もう
[00:01:40] 3本ね、取ったんですけど、トータル
[00:01:42] はい。
[00:01:43] 最後の1本。え、
[00:01:45] 今日も上から目線で、
[00:01:47] え、
[00:01:47] 下に見ながらジョビンさんを
[00:01:50] 初詮こいつは攻略レベルでしか試合したことないやつやもんだと思いながら思いながら今日もしていきたいと思います。よろしくお願いします。
[00:01:59] え、じゃんけんで川じさんに負けまして、
[00:02:01] ま、川じさんの方で結構喋って、あの、ま、セミの
[00:02:05] はい。
[00:02:05] 平本連帯知とか喋ったんですけど
[00:02:08] はい。
[00:02:08] え、僕の、え、試合も決まってますんで僕の方がまず
[00:02:13] はい。
[00:02:15] え、雨山せバサ平本
[00:02:18] はい、
[00:02:20] お願いします。
[00:02:20] この試合ですけど、これでも興味深いですけどね、
[00:02:25] これ雨山選手さ、俺初めて見たけどさ、
[00:02:28] めっちゃいい選手だね。
[00:02:30] めっちゃ強いすよ。
