[00:00:00] こんにちは
[00:00:02] 金谷さん
[00:00:03] 先ほど
[00:00:04] RIZIN3時テンションが低いです
[00:00:06] 何ですかじゃなくなったから
[00:00:10] 僕だからアズピーになってからもうマジ
[00:00:13] やる気ないですかだってもう飽きたお前が
[00:00:24] 全然違いますけどちょっと大丈夫です
[00:00:27] 皆さんもアスピンを待ってたと思う
[00:00:37] よろしくお願いします
[00:00:41] よコメント代表みたいなで
[00:00:46] 本日大臣39のですね
[00:00:48] 追加対戦カードが決まりましてで
[00:00:52] 揃った形になったのでその
[00:00:54] 追加凱旋カードについてもちょっとなんて
[00:00:56] いうか触れていただきたいかなと
[00:00:57] 全部はいよろしいでしょうかどう思います
[00:01:01] 逆
[00:01:02] 逆にこの対戦カードを見て思ったのが
[00:01:05] 外国人の方がすごいいっぱい増えたなって
[00:01:08] いう
[00:01:09] 印象ですね
[00:01:10] プラス
[00:01:11] 僕が無知なのか知らない
[00:01:13] 無知なのもあるんですが
[00:01:15] 名前も見てもこうわからない子が行くこと
[00:01:17] 未知の改善無知じゃないし俺も知らないよ
[00:01:21] ラグビーなのでこの辺含めて
[00:01:23] 仕事のこの俺さこう
[00:01:26] 対戦カードの
[00:01:27] 予想じゃないけどまあ予想はしてないけど
[00:01:28] さ
[00:01:29] 流れをさ話すじゃんいつも言ってるけど
[00:01:32] 2人2人の選手を知らないと
[00:01:35] 話したくないっていうことがあるので
[00:01:38] 予想しづらいじゃんどうなるのどうなるの
[00:01:40] かこうですね展開のこういう人がこの人
[00:01:42] 以上こうだよってのは別に
[00:01:44] 前回のねあのこの人が出た
[00:01:47] 選手のか大会の
[00:01:50] 俺の振り返りとかそのあれを見てもらえれ
[00:01:52] ばあのわかると思うんでそうですね
[00:01:57] 自分が両者を知っているカードは結構限ら
[00:02:00] れては来ちゃうんですがはいまあそれでも
[00:02:03] ね
[00:02:04] 注目フェザー級とかね
[00:02:06] 充電の出てる
[00:02:07] フェザー級とかが何ピカーとかあるのでま
[00:02:10] それを中心に
[00:02:12] 喋れればなと思いますのではい行きますか
[00:02:14] よろしくお願いしますじゃあまずはい
[00:02:18] 僕のある意味一番注目カードができます
[00:02:21] それからお願いします
[00:02:22] 芦田vs中田まあ
[00:02:27] 芦田
[00:02:27] 足をねはいあのま僕も
[00:02:30] 戦ってるし
[00:02:31] 前回いつかな先月
[00:02:33] 先々ぐらいかな
[00:02:34] ディープで10何とやって10段攻略して
[00:02:38] でまた雷神戻ってきて
[00:02:41] デザリッチな方
[00:02:44] ザリッチもあの
[00:02:45] 前回1年ぐらい前かな堀江君とやってあの
[00:02:49] 負けてしまったんだけども判定で負けては
[00:02:52] しまったんだけどもその後パンクラスで2
[00:02:55] 勝1敗かな3回やってんのかなそうですね
[00:03:03] 男性かやってないのにこの1年3
