[00:00:00] じゃあ50終わりますありがとうござい
[00:00:02] ました
[00:00:18] 始まっていますはーい
[00:00:23] まだかな
[00:00:26] 来てないですね誰もさこの方が聞こえが
[00:00:29] いいんですか
[00:00:31] いや単にその声の大きさかも
[00:00:34] 別になんかその今あの羽織ったりしてない
[00:00:36] んでそのままでも大丈夫ですよ
[00:00:38] わかりましたじゃあなしにしときます
[00:00:41] なんか今天皇来てるじゃないですか沖縄に
[00:00:44] あそうなのはいであの僕の家のすぐ近くの
[00:00:49] コンベンションでなんか明日やるみたいで
[00:00:51] あそうなんですか今この周りお巡りさん
[00:00:54] めちゃくちゃいますよあのー
[00:00:57] 多分もう閉鎖するんじゃないかななんか
[00:00:58] あの
[00:00:59] 検問に使うあの
[00:01:02] シャッター道路を塞ぐやつこの
[00:01:05] 辺り一体全部にも配置されて思われたのが
[00:01:08] もう立ってる状態明日じゃああれ明日やる
[00:01:11] のかな
[00:01:14] 道ここはねでも
[00:01:16] 与那原はさほら
[00:01:18] 抜けれるじゃん
[00:01:19] うちから
[00:01:20] 一旦タダヤ人迎え行くで58
[00:01:23] 結構やばいかな」って言ってたね
[00:01:26] 今もう始まってんすかこれ
[00:01:28] 始まってますはいおーでもまだ来てないん
[00:01:31] ですよね人がちょっとずつきてますでも
[00:01:34] だってこれ見るじゃないですか言ったら
[00:01:35] それでも
[00:01:38] 残るんだからあータイプでね
[00:01:41] はいまだちょっと少ないですね
[00:01:44] 広丸さんこんばんは待ってました
[00:01:46] こんばんは
[00:01:48] 003を嬉しいですね楽しみました
[00:01:55] 明日だからさ見れないんだよなぁ
[00:01:58] そうそうそれ聞こうと思ってたの
[00:02:01] うん
[00:02:02] みんな買うんでしょいやどうしようかなと
[00:02:04] 思ってだから俺も聞こうと思ったよ
[00:02:05] お姉さん買うの
[00:02:07] 買うから
[00:02:08] 控え室で一緒に見ようと思ってたよ
[00:02:10] どうします
[00:02:13] 控え室ってネットあるんすかね
[00:02:17] wi-fi
[00:02:19] wi-fiやったら俺の
[00:02:21] 俺の携帯まあいっか
[00:02:25] どうしますiPadで見るか
[00:02:28] iPadで見よう
[00:02:30] [音楽]
[00:02:36] よってことでしょ
[00:02:38] マックでもいいし
[00:02:40] iPadでもPC
[00:02:44] まあちょっとどっちか持ってってまあ一応
[00:02:48] スカパーも買ったんすよでもスカパーは
[00:02:50] 録画してで
[00:02:53] 奥さんが見るんでしょ家で
[00:02:56] まずUFCどうするの今日はねあの
[00:03:01] に寝て
[00:03:03] でSNSを見ないで
[00:03:05] 朝起きてから見る
[00:03:07] それでいいじゃん別にリアルタイムで見る
[00:03:10] 必要はないじゃん
[00:03:11] としてれば
[00:03:14] 僕がね
[00:03:15] 録画ファイトパスでしょ
[00:03:23] WOWOWなんでやめた俺ねWOWOW
[00:03:25] やめたのあそうなのだってさもうなんか
[00:03:28] UFCしか見ないからWOWでだったら
[00:03:31] ファイトパスの
[00:03:32] プレミアムの方が
[00:03:34] 確かにお得だなと思って
[00:03:36] 間違いない
[00:03:37] うんやべ最近やめたわざ
[00:03:39] 先月やめた
[00:03:41] [音楽]
[00:03:43] さあちょっと
[00:03:46] しました林さんこんばんはこんばんは
[00:03:49] こんばんは
[00:03:59] 猿さん何やってるんすかそれ
[00:04:00] だって2人で話ししてるから俺ちょっと
[00:04:05] 違うことやってました
[00:04:08] 入ってきてくださいよいやUFC
[00:04:11] 録画してるんであれかなって
[00:04:17] 調べさんは
[00:04:19] あれがあるんですね試合が
[00:04:21] グラップリングの
[00:04:23] 30日30日来週
[00:04:26] 来週ですはい
[00:04:28] 結構やってるんですか練習は
[00:04:30] 練習やってますよ
[00:04:31] グラッピング練習
[00:04:33] グラップリングの練習もやってます
[00:04:38] MMAまあ
[00:04:39] 普通に普通にやってますどういうあれなん
[00:04:42] でしたっけ
[00:04:43] タッグマッチなんでしたタッグマッチで
[00:04:46] 危なくなったら
[00:04:48] 味方のとこ行ってタッチするようなもの
[00:04:50] で1本で終わりですか決まったら10分2
[00:04:55] 本選手ですね10分日本選手
[00:04:59] なるほどまあほぼほぼ
[00:05:01] 決められることは決まることはないですよ
[00:05:03] ね10分にいますよちゃんと
[00:05:06] 笑わせますよちゃんと
[00:05:07] マジすかはい
[00:05:09] 終わらせますよ
[00:05:11] お客さんちょっと来てくれるんで完売した
[00:05:14] んですよ
[00:05:15] すごいですね
[00:05:16] すごいですよね
[00:05:18] チケット取れなくて困ってしまって
[00:05:20] 正直まあ有名選手はあんまいないじゃない
[00:05:22] ですかはいだからやっぱその地元パワー
[00:05:26] すごいんだなと思ってですねあと
[00:05:29] ヒロヤ選手が
[00:05:31] 50枚ぐらい売ってくれてるらしいです
[00:05:35] 東京から来るんすか応援だから応援に沖縄
[00:05:37] だからっていうこう遊び
[00:05:39] みたいな
[00:05:42] すごいなぁ
[00:05:44] 選手の相手誰でしたっけ
[00:05:46] 新垣選手かな
[00:05:49] シマデリアンズの
[00:05:51] [音楽]
[00:05:53] じゃなかったの
[00:05:55] 地元の選手かそうですねちょっとあんまり
[00:05:59] 詳しくわかんない
[00:06:01] じゃあちょっと増えてきてもう皆さんお
[00:06:05] 待ちだと思うので
[00:06:07] 雷神39の
[00:06:10] 試合の展開予想とかその辺を
[00:06:14] やりますかねはいお願いしますはいお願い
[00:06:18] しますじゃあまず1試合目から
[00:06:22] 1試合目
[00:06:23] キックボクシングルールやめときますか
[00:06:24] これはい
[00:06:25] 飛ばしました2試合目もキックルールここ
[00:06:28] は飛ばして3
[00:06:31] 試合目が手塚選手対
[00:06:34] メイマンマメドフ選手の
[00:06:38] 試合で
[00:06:42] メイマン豆腐選手は
[00:06:44] 初出場ですかね
[00:06:45] 雷神はい
[00:06:49] 御所5杯の選手
[00:06:51] に対して手塚選手は決めが強い選手って
[00:06:54] ことですねはい
[00:06:57] 前回美味しかった何だろうなあの
[00:06:59] 美味しかったじゃなくて
[00:07:00] いいところ全く出なかったしなかったです
[00:07:03] ね
[00:07:06] 前回は
[00:07:08] ねバックチョークでタップアウトと
[00:07:11] いうところでまあその接続戦ってことなん
[00:07:16] ですけど
[00:07:17] 相手がちょっとどうなんすかねよくわかん
[00:07:20] ないですねどんな感じの選手なんだろう
[00:07:23] 全くですね
[00:07:24] 5章5杯お正午入っているどこにでもいる
[00:07:27] [音楽]
[00:07:29] 選手です選手というかレコードですよね
[00:07:31] まあそうですねまあ普通に見たらやっぱり
[00:07:34] 手塚選手を勝たせるような街メイクなのか
[00:07:37] なっていう気がしますけどねそう思います
[00:07:39] ちょっと相手のことがちょっと情報がなさ
[00:07:42] すぎて何とも言えないですけど
[00:07:47] いいですかはい
[00:07:50] 次が中原
[00:07:54] 選手対原口選手でこれがケラモス選手
[00:07:58] みたいだから選手だったんですねそうです
[00:08:00] ねけど
[00:08:06] 見たかったっすよね
[00:08:09] 痛かったですね
[00:08:13] 変更になって
[00:08:14] 原口明選手まレスランスね原口選手は
[00:08:19] これはどうですかね
[00:08:22] これ中原選手ははい
[00:08:24] 前回の試合でも
[00:08:28] 佐々木か選手と対戦予定だったのに
[00:08:31] 変更
[00:08:33] 事情になって
[00:08:34] 積選手になっていう
[00:08:38] 感じですよねで今回も
[00:08:41] 試合直前に相手が変わるみたいな
[00:08:44] かわいそうだけどそうですね
[00:08:47] [音楽]
[00:08:50] フィジカルが強いっていう意味ではある
[00:08:52] けども選手とまあ
[00:08:54] 共通点もあるけどってことですね
[00:08:59] 中原選手はワニでしたんですよねそうです
[00:09:02] ねはい
[00:09:04] 結構外人とがっつりやってますもんねやっ
[00:09:07] てますねやっぱ総合的にすごい強いと思い
[00:09:09] ますねパンチがうまくてっていう印象です
[00:09:12] ねやっぱり
[00:09:17] 小野寺さんどうですか中原先生に
[00:09:20] 愛してというか
[00:09:22] まぁ
[00:09:23] 硬い
[00:09:24] 僕は硬いと思いますだから中原選手の方が
[00:09:27] 勝つはい
[00:09:30] ちょっと一覧上な感じがねそうですね
[00:09:35] 田口選手がもしあるとしたらそのやっぱり
[00:09:37] 組とかレスリングの部分だとは思うけど
[00:09:39] そこから決定的なとこまで持っていけるか
[00:09:42] というと
[00:09:45] 打撃でなんかもっと削られそうな気がし
[00:09:46] ますんでそもそも
[00:09:54] 元をグラデータのフェザーそうなんですね
[00:09:57] だから
[00:10:00] 中原選手グラジエーター多分
[00:10:02] 前のグラデータかもしれないですけどね
[00:10:06] そうですね
[00:10:09] グラちゃんパンクラス1なんですね
[00:10:11] [音楽]
[00:10:16] で
[00:10:17] 原口選手はブレイブで
[00:10:20] レスリング
[00:10:21] あーこのTシャツよくない
[00:10:26] 良くないですか
[00:10:36] レスリングが
[00:10:38] 主体の選手で
[00:10:41] グランドも1本取りよりはこうしっかり上
[00:10:44] に乗って
[00:10:46] ポツポツあっていくみたいな
[00:10:49] 感じですね毛を受けようあるのがびっくり
[00:10:52] ですね
[00:10:55] で1本はなしこの間のあれじゃないですか
[00:10:59] 2系のうちの1KOってあの僕たち
[00:11:03] 現地行った時のやつじゃないですか
[00:11:07] グラジエーター
[00:11:08] グラジエーターあの
[00:11:10] 先生が出た時やってましたよね
[00:11:15] あん時確かKOだったそうですね
[00:11:17] [音楽]
[00:11:21] 考えるとやっぱこう今までやってきた選手
[00:11:24] とかを
[00:11:27] 考えるとまあ中原選手が
[00:11:31] 有利だとは思います
[00:11:35] 外人とやってきてるのもあるから
[00:11:36] フィジカルもまあ
[00:11:38] レスリング力だけで言うともちろん原口
[00:11:40] 選手の方が強いと思うんですけど
[00:11:44] フィジカルも中原選手あるから
[00:11:46] 選手
[00:11:47] [音楽]
[00:11:49] がどうなると思いますかその
[00:11:55] 組も多分強いと
[00:11:57] 上でやっぱその
[00:11:58] 周りの選手も多分この首強い人いっぱいと
[00:12:01] 普段からやっぱやってるんでそんななんか
[00:12:05] 組で圧倒されるとかはないような気がし
[00:12:07] ますよねやっぱねそうすると
[00:12:10] 打撃とか
[00:12:11] 全体的な経験値で言うと
[00:12:13] でも判定かなって気がしますけどねなんか
[00:12:18] フィニッシュまではいかないのかなって
[00:12:19] 行かないですかね打撃でKOはしないです
[00:12:21] かねなんかそこまで
[00:12:24] 攻めないんじゃないかなっていう気がして
[00:12:25] この間のその試合を見てても割と
[00:12:29] 硬くかつてっていう形になんかこう
[00:12:31] 比重を置いてる感じがしたので
[00:12:34] 同じ作戦だとしたらまあ
[00:12:37] 判定かなという
[00:12:38] 僕はそんな気がしますけど
[00:12:42] 同じ屋さんどうですか
[00:12:48] 京王勝ち中原
[00:12:53] 選手かはい
[00:12:55] どうかなあのまあ前回の試合みたいになる
[00:12:59] 可能性もあるんですけどそのやっぱレベル
[00:13:01] がちょっと
[00:13:02] うん
[00:13:04] 上な上なのかなと思うと
[00:13:06] 十分慶応勝ちもありうるんじゃないかなっ
[00:13:08] て思います
[00:13:12] 原口選手が勝つなら判定ですよね
[00:13:16] 机がちじゃないですか
[00:13:23] いや中原選手が
[00:13:27] 判定かなぁ
[00:13:29] 原口選手仕留められるイメージもないん
[00:13:31] ですよね
[00:13:34] 考えると
[00:13:35] タフだしねやっぱはい
[00:13:37] もしかしたら面白くない試合になっちゃう
[00:13:40] かもしれないですこんな
[00:13:42] 気がしてますはいでも何かあの起こして
[00:13:46] ほしいなとは思いますけどね
[00:13:48] 次いきますかはいはい明日高井戸選したい
[00:13:53] 中田裕貴
[00:13:56] 選手
[00:13:57] 楽しみ
[00:13:58] あこれは
[00:14:00] なんかこう
[00:14:03] 盛り上がりそうですねアグレッシブな
[00:14:04] タイプ
[00:14:05] 同士で
[00:14:07] パンチが得意なお互いにそういう選手だと
[00:14:11] 思うんではい
[00:14:13] グイグイいくのかなとま経験値的に芦田
[00:14:15] 選手ですねはい
[00:14:21] っていう
[00:14:22] 試合なんですけど
[00:14:26] 前回は中田選手は堀江選手に判定負けと
[00:14:29] はい
[00:14:32] 芦田選手は
[00:14:34] 前回が
[00:14:37] に
[00:14:41] 入ってます
[00:14:42] 誰にカイロは帰るワゴンあカイロンか
[00:14:45] うん
[00:14:47] その後にリープで今成さんとやって判定が
[00:14:50] ですねあそうですね
[00:14:51] ディープでは
[00:14:52] カラコンはこれ4月17ってこれ沖縄です
[00:14:56] かあれか
[00:14:58] 違いますねその
[00:14:59] 前かはい
[00:15:01] [音楽]
[00:15:03] っていうとこで
[00:15:08] どうなんすかね中田
[00:15:11] 選手
[00:15:12] 中田選手か中田選手
[00:15:15] めっちゃいい選手じゃないですか
[00:15:18] 堀江選手しかやった時なんかなんだろうな
[00:15:21] 本当に
[00:15:22] タフファイトというか
[00:15:24] 打撃もらっても前に前になんかニヤニヤし
[00:15:27] ながら前に行くようなイメージがあって
[00:15:30] で
[00:15:31] 芦田選手も引かないだろうし
[00:15:35] 結構なんか血みどろの試合になるんじゃ
[00:15:37] ないかなと思うはいただなんだろうなぁ
[00:15:43] タフさとか
[00:15:44] 前に出るゴリ押し力で言うと
[00:15:47] 僕はその打撃だけで言うと中田選手の方が
[00:15:51] 強いのかなと思うんですけど
[00:15:53] 総合力で言うとやっぱ芦田選手がやっぱ
[00:15:55] 寝かすこともできるので
[00:15:57] [音楽]
[00:16:01] 芦田選手の勝つと思うんですけどパンチ
[00:16:05] だけで勝負した俺中田選手意外といいん
[00:16:09] じゃないかなって思うんですよね
[00:16:11] 確かに
[00:16:14] なんかちょっと猟奇的な
[00:16:16] 強さというか
[00:16:20] 聞かないのこの人みたいな
[00:16:22] イメージがあったので
[00:16:24] [音楽]
[00:16:26] 自分はこう
[00:16:28] 総合力を使って
[00:16:30] 芦田選手が勝つんじゃないかなとは自分は
[00:16:33] 思います
[00:16:34] [音楽]
[00:16:37] 僕もまあ
[00:16:39] 勝敗予想で言うと芦田選手の判定が地かな
[00:16:43] というでやっぱり
[00:16:45] 作戦を立てるとしたらわざわざこの中田
[00:16:47] 選手と打撃をやる必要が全くなくてやっぱ
[00:16:52] 普通に
[00:16:53] 勝つっていうこと考えたらテイクダウンに
[00:16:54] 行くっていうことになるし何本かは取れる
[00:16:58] と思うんですよねやっぱり
[00:17:02] 芦田選手がですよはい
[00:17:04] 取れると思うのでやっぱそういう特に今
[00:17:06] 見当たっさんとかの何て言うと作戦的には
[00:17:11] リスクを取らないで
[00:17:12] 強みがあるところで勝負しようよっていう
[00:17:14] ことにはなるのかなというところで
[00:17:19] ほとんど同じ見解で
[00:17:21] 堀江選手との試合も
[00:17:23] 打撃は結構5分ぐらいで
[00:17:25] 堀江選手が所々このテイクダウンして上
[00:17:28] 取ってなんかその差が出たのかなと思うの
[00:17:31] でそうですね今回もそうなるんじゃないか
[00:17:34] なーっていうやっぱりそこの組の部分で
[00:17:38] 言うとね明日選手は
[00:17:40] 普段の練習環境から含めてもまあ結構
[00:17:42] 強いとは思うので
[00:17:45] まあそんな予想ですね僕ははい小田さんは
[00:17:49] 同じです出た
[00:17:52] でもまあこれは同じですこれ同じでしょで
[00:17:55] もこれしょうがないでしょこういうこと
[00:17:58] ない
[00:18:02] ですじゃあ
[00:18:05] 6試合目じゃこれお姉さんがいきましょう
[00:18:07] か梅の源自体
[00:18:09] トレンドガーナムのこれはだからこれはね
[00:18:13] 僕は海のっすよやっぱり
[00:18:16] 海のが
[00:18:21] 切るのかなぁ
[00:18:22] だって植えたルールですよねまあムエタイ
[00:18:26] というか肘ありのキックボクシングルール
[00:18:29] キックボクシングで
[00:18:31] トレンドカーナムってあの
[00:18:32] 井上直樹が初めて
[00:18:34] RIZINに参戦した時に
[00:18:37] 結構
[00:18:38] 僅差で
[00:18:39] 井上が勝って
[00:18:41] あれ
[00:18:41] 言わなきゃ思ったほうぜじゃないじゃん
[00:18:44] みたいな
[00:18:45] イメージそうですね
[00:18:47] 我々受けたんですよねあの選手ですよね
[00:18:50] だからあの選手何なんですかね
[00:18:53] バックボーンがキックボクシングなんです
[00:18:54] かねまあなんかそうみたいですねでも多分
[00:18:57] MMAの方が強いでしょ
[00:18:59] 多分ねメーターの選手なんです元々の
[00:19:02] 選手なのかななんか
[00:19:04] 僕はもう全然
[00:19:06] 上体だったら梅の方が
[00:19:10] ものすごく強いと思うんですけどはい
[00:19:16] 切るか
[00:19:17] じゃないですか
[00:19:19] カードはないかなって感じですね
[00:19:22] そうですねはい
[00:19:25] 以上です
[00:19:26] お返しします
[00:19:29] ほぼ同じ
[00:19:32] になるでしょだけどちょっと追加すると
[00:19:35] なんか他の誰だっけな意地あたりさん
[00:19:37] チャンネルかなんかで見たんですけどあの
[00:19:39] のメンバーの人が元々その梅野さんと
[00:19:42] 洞門だったらしくて
[00:19:44] メロさんはそのサウスポーの
[00:19:47] 左ストレートが苦手なんだってうまい人が
[00:19:49] でトレンドがでもサウスポーで左
[00:19:52] ストレートがうまい選手らしいんですよだ
[00:19:54] からそこがそこだけ注意って
[00:19:57] 言ってましたすいませんねだけどムエタイ
[00:20:00] スタイルの選手にはめちゃくちゃ強い
[00:20:01] らしくてやりやすいので
[00:20:03] 慣れてるからだからまあそういうのも考慮
[00:20:05] してまそもそもね本職ではないという
[00:20:07] ところも考えたらまあ皆選手が
[00:20:11] 安定で
[00:20:12] 勝つんだろうけど
[00:20:14] そこで
[00:20:17] 負けちゃったりするのが梅の選手なのかな
[00:20:19] みたいな気もちょっとしてね
[00:20:23] まあでも今は流れ的にねやっと
[00:20:27] ぶえたい来たよっていうところでね
[00:20:29] 逆に切られて負けちゃうとか
[00:20:33] やばいだろうってまあ
[00:20:36] 勝つじゃないですか
[00:20:40] そうだと思います
[00:20:45] 本当に小野寺さんと一緒にKOはないん
[00:20:48] じゃないかななんか
[00:20:50] すごく早くてうまいイメージはあるんです
[00:20:51] けど
[00:20:52] 重いイメージはないのに打撃がそうです
[00:20:54] ねーって聞かされることはないのかなと
[00:20:57] 思うんでもし試合が
[00:21:00] 途中で終わるのであればいいで
[00:21:02] 圧倒させる
[00:21:04] 以外は
[00:21:05] 判定に行くんじゃないかなってで判定で
[00:21:09] 運命の選手がやっぱりこう当ててる分
[00:21:13] 行くんじゃないかなと思いますまあなんか
[00:21:16] やっぱそう中間距離でのテクニックの
[00:21:18] 出し合いみたいなのでうまそうですよね
[00:21:19] やっぱりでも非常りっていうので
[00:21:21] [音楽]
[00:21:22] トレント側でもかわいそうだなぁって
[00:21:25] MMAがやりたかっただろうね
[00:21:30] ちょっと聞いてみないみたいですよねあの
