[00:00:07] 薬指です薬指ですだから全然使えますどう
[00:00:12] も平本です
[00:00:16] 中指使えないでしょYouTube
[00:00:20] 最近やっぱ頭良くなったんでその辺は
[00:00:23] なんぼでもいけるでしょう
[00:00:29] お願いします
[00:00:36] さっきも
[00:00:39] 師匠とちょっと先に打たれてきたけど
[00:00:44] ちょっとだけでしょうんやりますよ今回
[00:00:47] あの4月29日の大臣に向けてどうしても
[00:00:51] コラボしたりそうなんですよねちょっと
[00:00:54] マジでやばい人とコラボするんで呼ん
[00:00:56] じゃっていいですか
[00:00:59] ちょっと呼びたいと思います前田
[00:01:02] 彰さんです
[00:01:09] よろしくお願いします
[00:01:12] 試合前なんでちょっとパーカーかぶった
[00:01:15] ままなんですけどすいませんそういうの
[00:01:17] やめたほうがいいんじゃないそうなんです
[00:01:19] けど
[00:01:20] いろいろ知ってんだけど
[00:01:24] 前田さんはやっぱ色んなとこでやっぱあの
[00:01:28] いろいろ
[00:01:29] ルール破ってきてかっけーなと思ってきた
[00:01:31] んで俺本当憧れてるんでマジではい
[00:01:33] だいたい俺に教えて見たことあるの後ろ
[00:01:37] じゃないですか
[00:01:48] そっから
[00:01:49] 遡って
[00:01:51] コピロフ戦とかも見ました
[00:01:59] 強かったです
[00:02:20] もっとやった方がいいかなと思って
[00:02:22] やっぱりほらやっぱりこっちの立場だね
[00:02:25] やっぱサッカーあるから
[00:02:28] 前田さんかっこいいです
[00:02:33] 入れなかったんですけど
[00:02:37] マジやばいでしょ平本蓮と前田明の対談や
[00:02:41] ばいっしょ
[00:02:42] 大丈夫ですかやっぱそのアウトサイダー
[00:02:46] 始めた人だからもうちょっと
[00:02:48] アウトサイダーのことちょっとやっぱはい
[00:02:50] あの
[00:02:51] みくるさんのこととかやっぱちょっと
[00:02:54] なんかあのちょっとあのいろいろさ
[00:02:59] アウトサイドだから最近ミクロにもなんか
[00:03:02] いろいろふっかけてんじゃないなんか喧嘩
[00:03:04] いやそうなんですけどそうなんですけどで
[00:03:06] もこれは
[00:03:08] 前田さんもやっぱ昔やっぱ藤波さんと戦っ
[00:03:12] た時とか
[00:03:15] ね
[00:03:28] そうですね
[00:03:30] あの時にあの時にあの時とかあの辺の時に
[00:03:35] なんか言ってないですか
[00:03:36] ごちゃごちゃ言わんと一番強いやつが
[00:03:39] みたいな
[00:03:43] [音楽]
[00:03:56] ごちゃごちゃ言わんと誰が強いか決めたん
[00:03:59] やみたいなこと言ってやっぱ世間探したん
[00:04:01] で俺も前田日明イズムでやっぱ今SNS
[00:04:05] 使っていろいろなんか焚き付けて
[00:04:08] るっていう
[00:04:09] 俺を見てやってるでしょ
