[00:00:00] レスラー系はもや選手すごい得意だ
[00:00:04] ストライカーのは苦手だ1発1発で
[00:00:07] こだわりが全然なくてああこれで倒れろ
[00:00:10] みたいなだ絶対打たない
[00:00:12] [音楽]
[00:00:23] からはいこち
[00:00:26] こちほって
[00:00:31] 今日ははいえ本日は大臣49にて行われ
[00:00:35] ますバンタム級オザ時期挑戦者決定戦元谷
[00:00:39] ゆ対秋本こちらの勝敗予想やっていき
[00:00:42] ましょうお願いしますこれびっくりしたよ
[00:00:46] びくりしましたましたねベテランのね谷
[00:00:49] 選手超神の秋本選手が挑むていう戦いです
[00:00:54] けどはいこれを害予想しますかはいこれで
[00:00:57] も秋本手は太郎選手とフェザー級の鈴木
[00:01:02] 選手はいを倒してここにたどり着いたわけ
[00:01:05] ですけどこう実績的にはどうなんだみたい
[00:01:07] な話もありますけどそれはどのようにもう
[00:01:10] 一戦挟んでもいいんじゃないかとも思う
[00:01:12] けどいや早いだろうとは思わない思わせ
[00:01:15] ない力があるなるほどうんその2戦でそう
[00:01:19] いう力見せだってこの試合決まった時にさ
[00:01:22] え面白えなと思ったでしょま勝負論あるな
[00:01:25] と勝負論あるなと思ったじゃんえどっち
[00:01:27] どっち自分のの中でちょっとパてぐるぐる
[00:01:30] ぐるってなったその段階と言ったら
[00:01:33] ちょっと早いて言うかもしんないけどま
[00:01:36] 決して早いと思わせない秋本選手のその
[00:01:38] 完成の高さみたいのをま前線とか全然そう
[00:01:43] ですねそれをちゃんと見せつけてきてとだ
[00:01:45] 実際あの金太郎選手あんな風に
[00:01:47] フィニッシュした人もいないわけですはい
[00:01:50] ま大勢元谷選手はま岩鶴と知れた
[00:01:53] ファントム9のはいトップコンテンダー
[00:01:56] はいはいま最近また調子をまた上げてきて
[00:01:59] ますねまたえ前回は太田選手ですねあの
[00:02:03] ノリに乗ってる太田選手うんをしっかり
[00:02:06] はい仕留め切ってますちゃうね行きますか
[00:02:10] はい勝の方せーの元お全員元谷全員元屋
[00:02:19] 選手あはい元手お意外だな
[00:02:24] ああすね悩みますけどねかなりおお
[00:02:31] 結構とはいえみんな結構悩んだ上の元屋
[00:02:34] さんですねそうですねだも本当にそうです
[00:02:38] ね考え用によっては秋本選手だしみたいな
[00:02:40] とこもありますますっごい簡単に言うと
[00:02:43] 打撃は秋本選手組みは元谷選手はいって
[00:02:47] いうとこなんじゃないかとはあそうです
[00:02:49] 思いますしかも元谷選手にとっては苦手な
[00:02:52] タイプのファイターだと思ううー確かに
[00:02:56] うん逆に太田選手みたいなああいう
[00:02:58] レスラー系はいは選手すごい得意だ
