[00:00:01] えいよいよ今月29日に行われるヨボ
[00:00:05] プレゼンツ雷人48豪華な対戦カードが
[00:00:08] 揃ったこの大会をユNEXT恒例の勝敗
[00:00:11] 予想で占ってみたいと思います早速出演者
[00:00:14] の方を紹介しましょうまずは私カジ達也
[00:00:17] ですよろしくお願いよろしくお願いします
[00:00:19] すいませんいきなりみましたえそして7月
[00:00:22] のスーパーrine3でラジデビューを
[00:00:23] 果たしたケトロータス選手ですトロータス
[00:00:26] ですよろしくお願いいたしますはい
[00:00:30] え続いて第10代フェザー級キングオブ
[00:00:33] パンクラシスでありそのアグレッシブ
[00:00:35] ファイトで常に会場を盛り上げてくれる2
[00:00:38] す選手です2すですよろしくお願いします
[00:00:40] お願いしますえ続いては7月のスーパー
[00:00:44] ラジン3で素で戦うベアナックルルールで
[00:00:48] いきなりチャンピオンと対戦するなど不屈
[00:00:50] の魂を見せてくれるえそれは高き選手です
[00:00:54] え添谷高きですよろしくお願いしますお
[00:00:56] 願いします皆さんそれぞれ交流ありますか
[00:01:01] ま僕はあの2選手とあの10年ぐらい前に
[00:01:06] はい何度か練習は動のそうですはい僕もね
[00:01:10] 一緒に練習してましたねはいはいそして
[00:01:13] このメンバー
[00:01:15] ちょっとそ選手とケト選手はいなんかね
[00:01:20] なんかここ大丈夫なんですかなんかあり
[00:01:22] ましたよね全あのそれはそうですあの僕
[00:01:25] にったにはい一応僕のYouTube
[00:01:28] チャンネルがに
[00:01:30] あ知ってまし
[00:01:32] たTシャツがねお揃いでしてし合ってるん
[00:01:38] じゃねかがあったそういうことではないと
[00:01:41] はいそうです交流その前まではあったん
[00:01:43] ですか交流っていうかや一初めてそこで
[00:01:45] あってTシャツがまさか被ったリそうで
[00:01:49] リングサイドで気づいたんですけどあれ
[00:01:51] これTシャツ一これまあでももうこ着替え
[00:01:55] らんねえなと思ってま僕から見たそれぞれ
[00:01:58] ト選手はねスーパーラ3で出てはいまその
[00:02:02] 前から本人は嫌がるかもしんないけどね
[00:02:05] こう美しくて有名で期待されて結構ね試合
[00:02:09] 見たらいや全然なんかトンパ野郎だ
[00:02:13] なトンパわかりますわかんないですま
[00:02:16] 褒め言葉ですね調べて
[00:02:18] くださいぶっ飛んでるなあ打ち合っちゃう
[00:02:21] んだそこみたいなびっくりしましたはい2
[00:02:24] 選手はやっぱマチですねはい
[00:02:28] あのもあはい何回もはい練習アムロック
[00:02:32] 取られたら耐えるしかないとんでもないま
[00:02:36] 茨城ですよね元大学が茨城で出身が北海道
[00:02:40] だったんで茨城ちょっとハ道場はいうんで
[00:02:44] そ選手はやっぱりフェニックスですよね
[00:02:47] 市長ま僕もスパーリングとかしたことあり
[00:02:50] ますスパーま
[00:03:01] それではえラジ48の勝敗予想に参り
[00:03:05] ましょう今大会ではバンタム級とライト級
[00:03:08] の2台タイトルマチは行われることになり
[00:03:10] ました他にもね豪華なカードが
[00:03:12] ラインナップされてるんでえケト選手
[00:03:15] カードをご覧になってどうでしょうそう
[00:03:17] ですねメインもものすごくいいカードだと
[00:03:20] 思ったんですけどそれ以外にも豪華な
[00:03:22] カードが多いなという印象ですねはい濃い
[00:03:25] カード揃ってますねそうですね濃いカード
[00:03:27] がすごいなっていうまずはこの試合の勝敗
[00:03:30] 予想から参りましょうフェザー級ワン
[00:03:33] マッチ萩原京平選手対高木亮選手の一戦
[00:03:36] ですえ共に打撃でのフィニッシュ率が
[00:03:39] 70%を超えるストライカー同士の一戦を
[00:03:42] 皆さんに予想していただきましたそれでは
[00:03:45] 予想を発表していただきましょう
[00:03:49] どうぞ僕も出していいですか
[00:03:52] はい
[00:03:55] おト選手が萩原選手の勝ち
[00:03:59] 選手が高井選手の慶勝ちそうですねはい田
[00:04:03] 選手も萩原選手の2ラウンド慶勝ち僕も
[00:04:08] 萩原選手のけがちですねはいそれではまず
[00:04:12] ケト選手に勝敗予想の解説お願いします
[00:04:15] 萩原選手も田選手もお互いまストライカー
[00:04:19] ですごいこういいパンチキックを持ってる
[00:04:22] と思うんですけどま個人的に萩原先勝って
[00:04:26] ほしいどういう好きなファイターはい好き
[00:04:28] なファイターなんでなるほど
[00:04:32] 手押なんで勝利でていうこれはちょっと高
[00:04:36] 選手かわいそうじゃあでも高木選手もいい
[00:04:39] 選手だとはい好きなですは原選手はいそう
[00:04:43] ですねなるほどはいじゃあ次は2選手お
[00:04:47] 願いしますはい僕は高木選手の慶勝ちです
[00:04:50] おおこれ高木選手と対戦経験ありますよね
[00:04:54] クラスでああるんですけど高選手の良さの
[00:04:56] その打撃を一切付き合わなかったんで僕ん
[00:04:59] ですけど人ではあんまり試合したんであれ
[00:05:02] なんですけどファンクラスでめちゃくちゃ
[00:05:03] 試合見てて今まで慶王されたことない選手
[00:05:07] はガンガ出身させられてるの目の前で見て
[00:05:09] きたんで対戦経験もあって同じパンクラス
[00:05:12] 出身っていうのもあるんですけど高選手の
[00:05:14] ケ勝ちでケ勝ちはいそうと思いますいや
[00:05:18] いいすねソ選手はいお願いしますはいそう
[00:05:22] ですね僕は萩原選手がま2ラウンド勝ちの
[00:05:25] 予想なんですけどま萩原選手カーフキック
[00:05:29] がかなりはい上手でまオーソドックスの
[00:05:33] 選手対戦する時はカフキックで聞かせてる
[00:05:37] のをま見てるのでま今回もまそこが
[00:05:39] ちょっと鍵じゃないかなとでカフ少し
[00:05:42] やっぱり効いてきたところにえ萩原選手の
[00:05:45] 打撃が当たるんじゃないかなと思いますか
[00:05:48] ねはい僕もそうすね全く一緒谷選手と
[00:05:52] カーフで削られ
[00:05:55] て1発もらっちゃうかなただ高選手ね
[00:05:59] レートですよねそうあれ当たるんですよね
[00:06:02] やっぱりカー吹きかしてくる人って
[00:06:03] どんどん気づかないうちに近づいてくる
[00:06:05] からあ高木君多分それ狙ってなるほど右で
[00:06:09] どんどん近づいて萩原君にあの打ち抜いて
[00:06:12] ケをすると思うんですね僕は最初は萩原
[00:06:15] 選手がどんどん落ちてってくんですけど
[00:06:16] 多分蹴りが当たりすぎてどんどん気づか
[00:06:19] ないうちに距離が縮まってくところを高木
[00:06:22] 選手の右って自分練習でもやったことあん
[00:06:24] ですけど本当見えないんですよえええ
[00:06:26] スポーンってくるんでだからそれ当たっ
[00:06:28] ちゃうんじゃないかななるほどこれ
[00:06:31] ストライカー同士打撃戦になると思います
[00:06:34] 組んだらどうすかねや組むとしても高木
[00:06:37] 選手しか組まないんじゃないですかね萩原
[00:06:39] 選手それを防ぐ組まないえ組んでくるとし
[00:06:42] たら高井選手か高井選手の組みもあんま見
[00:06:44] ないですよねいやでも自分練習でみんな
[00:06:46] 高木選手組強いって言うんですよねその
[00:06:49] 決めとかじゃないですけど組んで強いって
[00:06:51] 聞くんで八王子の選手は結構全部できる
[00:06:54] イメージありますねまだ試合でまだ見せて
[00:06:58] ないっていう感じですね
[00:07:00] はいじゃあここでゲストの皆さんに恒例の
[00:07:02] 実演技術解説をお願いしたいと思います2
[00:07:06] 選手には対戦経験もある高木選手ならこう
[00:07:09] 戦うっていうのを解説していただきそや
