[00:00:01] [音楽]
[00:00:04] このメンバーで揃うこと多分ないよ
[00:00:08] 野生のゴリラたちが
[00:00:10] 偶然だってあんな感じになるのかなと
[00:00:13] 僕1回投げたんすけど
[00:00:14] ブリッジのパワーはすごかったっすねー
[00:00:24] ユーネクスト格闘技チャンネルです
[00:00:27] はい今回のu-next格闘技チャンネル
[00:00:31] テーマはこちらです今年もu-nextで
[00:00:34] 全試合ライブ配信されることになりました
[00:00:35] 年末に行われる
[00:00:37] RIZINフォーティーのメインイベント
[00:00:39] 雷神VS
[00:00:42] [拍手]
[00:01:23] はいということでそうですねはいMCを
[00:01:26] 担当させていただきますよろしくお願いし
[00:01:27] ますお願いします
[00:01:28] ちなみに僕MCの経験がないんです1回も
[00:01:31] やったことがないんですけど大丈夫ここは
[00:01:33] もう俺らの選手に通ってたよ私も実はない
[00:01:37] んで大丈夫ですけど
[00:01:40] 皆さん私ねすいませんよろしくお願いし
[00:01:42] ますよろしくお願いしますはいというわけ
[00:01:44] で今回のゲストは超豪華ですね
[00:01:51] はいこちらのお産方ですお願いします
[00:01:55] どうぞ
[00:01:57] お願いします
[00:02:00] やつゆうすけ選手斎藤豊選手
[00:02:03] 僕コンテンツさんですよろしくお願いし
[00:02:05] ますこの
[00:02:08] 並びすごいですこの
[00:02:15] メンバーで揃うこと多分ないよね
[00:02:37] 選手はあれですか
[00:02:39] プライベートとかは
[00:02:40] 全く練習もしょうがないですね
[00:02:54] よろしくお願いします
[00:02:57] 奥さんはあの年末は何をするんだご予定で
[00:03:00] あの
[00:03:01] 格闘技見ようかなはいってことは会場に
[00:03:05] u-nextさんいいですねよろしくお
[00:03:07] 願いします
[00:03:08] 斎藤選手は
[00:03:10] 調子は
[00:03:11] 調子はなんか体はすごいいい感じに
[00:03:13] 出来上がってるそうですね
[00:03:19] はいもう少しこう落とされたんですね
[00:03:35] はい
[00:03:38] というわけで今回の来週に14について
[00:03:41] まずは例の選手の方から体幹の説明お願い
[00:03:44] します
[00:03:54] 今回はこの対抗戦5試合を中心に深掘りし
[00:03:57] ていくという
[00:03:58] 企画になっておりますよろしくお願いし
[00:04:00] ますお願いしますまずはゲストの皆さんに
[00:04:03] この耐候性について
[00:04:05] 印象を伺ってみましょう
[00:04:06] 率直にどうですか逆選手いやもう対抗戦
[00:04:10] でしょいやもうすごいメンツ出してきた
[00:04:13] なっていう感じですよねベラトルが
[00:04:16] チャンピオンだったりとかねもっと
[00:04:17] チャンピオンだったり
[00:04:18] 各階級
[00:04:19] ほんとトップの選手
[00:04:21] 連れてきたんだよ
[00:04:25] 素直にびっくりしました
[00:04:26] ね
[00:04:32] なんか今出せる最高の
[00:04:35] 両チーム出てきてるんで
[00:04:37] めちゃくちゃ見事ありますよねなんかもう
[00:04:40] 自分のお客さんとしても楽しみに見たい
[00:04:41] なっていうそんなカードですね
[00:04:44] すごいね
[00:04:54] 全部斎藤君がいて
[00:05:03] 皆さんは当日は行かれますか
[00:05:05] 会場ですかu-next
[00:05:07] 僕はu-nextで
[00:05:09] ちゃんとペーパービュー
[00:05:13] ネクストで
[00:05:14] ペーパービューで見ようかなと思います
[00:05:16] 僕も
[00:05:19] 3人で一緒にね
[00:05:26] 私は一応豚肉予定ではありますけれども
[00:05:28] まだ何かもしかしたらいいよねくずさんが
[00:05:31] 外れないですはいそうですね僕も直樹が
[00:05:34] あの出るんで最初にはい行く予定なんす
[00:05:37] けどおそらくユネクストさんは
[00:05:42] 偉大ですからね
[00:05:43] ちなみに今回ですねベラトール軍に
[00:05:45] リーダーがおりまして
[00:05:47] 元優秀ライト級の王者で
[00:05:49] 無敗記録を作れたカビぬるまごめんど
[00:05:53] 選手が来るとそれについてはどうですか
[00:06:01] ねいやわからないけど本当多分1回見る
[00:06:06] から
[00:06:08] 見たいけど
[00:06:20] 現役から退いてますけどもうナンバーワン
[00:06:22] の称号を取って
[00:06:24] 辞められましたよね
[00:06:25] 僕も見たいです1回でいいかなどのぐらい
[00:06:27] でかいんだろうとかいやーはい
[00:06:31] 確かに
[00:06:32] 言いたいこと全部
[00:06:33] 今日は
[00:06:36] この並びだからね
[00:06:39] 今回のトークテーマについて例の選手から
[00:06:42] はいお願いします2
[00:06:47] 個目
[00:06:49] 勝敗予想っていう形でこの2つをやって
[00:06:52] いきたいと思います
[00:06:55] 今回のRIZINvsベラトールの対抗戦
[00:06:58] ですが
[00:06:58] レーナ選手もはいベラトル選手と戦った
[00:07:01] ことが
[00:07:02] はいニューヨ
[00:07:04] ークの試合をしましたねだいぶ前にはなり
[00:07:06] ますけど
[00:07:07] すごい
[00:07:08] 憧れの
[00:07:09] 本当に
[00:07:11] ふわふわしちゃって
[00:07:12] 負けちゃいましたけどもはいでもいい
[00:07:13] 思い出にはなりましたねでも
[00:07:18] 雰囲気が
[00:07:20] 場所の雰囲気飲まれたのと
[00:07:22] うんやっぱりなんですかねアメリカの選手
[00:07:25] 強いなっていう思いましたね
[00:07:27] 入りの時間とかって何日前に入ったでしょ
[00:07:30] でも1週間ぐらい前あの公式スケジュール
[00:07:34] よりちょっと前に入りました
[00:07:38] 全くわからなかったんでそうかでもやっぱ
[00:07:41] 浮かれちゃいましたねニューヨーク
[00:07:44] のね
[00:07:54] 日本のファンの方もあの日僕も現地行って
[00:07:57] てあの日本のファンの方も結構多くて
[00:07:59] もらってて
[00:08:01] 盛り上がりもねやっぱりすごいし会場も
[00:08:03] 大きいし
[00:08:05] 凄まじがたいですはい
[00:08:07] 早速ですけども
[00:08:08] レーナさん的に今回の
[00:08:09] 勝敗
[00:08:11] ライジン対ベラトールの勝敗どうなると
[00:08:13] 思います
[00:08:17] っていうのは
[00:08:19] 感じますね
[00:08:20] いやでもやっぱ日本人なんで頑張って
[00:08:23] ほしいなっていうまあ私は雷神側なので
[00:08:26] 頑張ってほしいなっていうところはある
[00:08:28] けどやっぱ本気度がすごくないですか
[00:08:30] ベラトール側のそれが怖いなんていう
[00:08:34] ところは感じますねというわけでそれでは
[00:08:36] 今回の対抗性について徹底的に深掘りをし
[00:08:40] ていきましょうはいまずはライト級の高田
[00:08:43] 工事選手対ガジラバラの選手について
[00:08:46] 応募していきたいと思います
[00:08:48] ゲストの皆さんはこの
[00:08:50] 武田浩一選手対ガジラアバターの選手に
[00:08:53] ついて2人のファイトスタイルなどはいき
[00:08:56] たいとあの皆さんご存知ですか
[00:08:58] 武田君は僕試合もしているしよく知って
[00:09:01] ます
[00:09:04] 試合
[00:09:08] かなっていうなんとなくしか見れてないん
[00:09:11] でちょっと
[00:09:13] 詳しいイメージまでわかんないですけど
[00:09:15] 武田選手ちょっと聞きたいんですけど武田
[00:09:17] 選手でやってみてどうだったんですか
[00:09:18] やっぱそのなんだろうな
[00:09:21] 組み力はありますよねいやもう見てわか
[00:09:24] 映像見ててもそう思いますやっぱ自分の
[00:09:26] 得意な部分に持ってったらやっぱり
[00:09:29] すごい強いというかあと
[00:09:32] 僕1回投げたんすけどそん時の
[00:09:35] ブリッジのパワーはすごかったですね
[00:09:39] あとまあ気持ち強いっすよね
[00:09:42] 前に前に来るっていう
[00:09:44] タフファイターなイメージですね
[00:09:46] 斎藤選手は
[00:09:48] 武田選手はもうガッツがすごくてもう
[00:09:50] 頑張る選手だなっていう
[00:09:52] 感じですよね最初からもう自分の
[00:09:54] レスリングを最初から最後までやり続ける
[00:09:56] みたいな
[00:09:57] チャンスが来たらもうラッシュも行くし
[00:09:58] はい
[00:09:59] 個人的にはすごく
[00:10:01] 配当スタイルも好きだなっていう感じです
[00:10:02] ね
[00:10:02] 武田選手
[00:10:03] ガジ選手についてはどうですもう今やこう
[00:10:07] 一大勢力ってなった竹下さんちょっとそれ
[00:10:11] なんですね
[00:10:13] 生物的な強さを持ってる選手というか
[00:10:16] 武田選手はまあ多分どこ行くと思うんです
[00:10:18] けどまぁちょっと
[00:10:20] タゲスタンの
[00:10:22] 怖さというかね強さを見るような気はし
[00:10:24] てるんですけどね
[00:10:25] 僕はやっぱ武田選手のやっぱ黒さんを
[00:10:28] ちょっと
[00:10:30] どんぐらい仕上げてくるのかな
[00:10:34] 最近で白くないですか
[00:10:52] ブレイブの
[00:10:53] プロレンでたまに
[00:10:54] ご一緒させてもらってます
[00:10:56] 体格が違うのでやることはないんですけど
[00:10:58] やっぱ隣でもすごいアクロバティックに
[00:11:01] やってるのでいや
[00:11:03] すごい楽しみな試合だなっていう風には
[00:11:05] 思いますねちょっと黒くしといてください
[00:11:20] したい方もおられると思うので
[00:11:22] 簡単にどんな選手か
[00:11:24] ご説明させてもらいたいと思います
[00:11:26] リーダーの
[00:11:28] ヌルマゴメドフリッパの一人としてこの
[00:11:31] 耐候性にお送り込まれた
[00:11:33] 元イーグル
[00:11:33] FCライト級王者MMAの成績は24戦で
[00:11:37] 18勝メルトールでは現在ライト級
[00:11:40] ランキング10位ただベラトールに移籍し
[00:11:43] てからはこれまでに3年生をあげており
[00:11:45] まさに勢いに乗る29歳のファイターだと
[00:11:48] いうことです3
[00:11:51] 連勝ですよ
[00:11:54] 選手のVTRがあるのでその映像を見てみ
[00:11:57] ましょう
[00:11:59] は
[00:12:01] ヌルマゴさんの今日兄弟とか親戚なんです
[00:12:05] か
[00:12:07] 親戚ではないんじゃないんですか
[00:12:14] 結構
[00:12:14] タッパもありそうですね
[00:12:16] リーチもあるし
[00:12:19] もっとゴリゴリイメージしてたけど
[00:12:21] 意外とか
[00:12:27] 他の試合見ててもそうなんですけど
[00:12:28] しっかりとこう打撃キックボクシングを
[00:12:31] やってその中でテイクダウンしていくって
[00:12:32] いうスタイルですねもっと
[00:12:37] ゴリゴリ行くのかと思ったらね
[00:12:46] ミックスして今クローズに入ってるんです
[00:12:49] けど
[00:12:49] 結構グランプリングやるんですよね
[00:12:52] 詳しいなぁ
[00:13:04] ケニア汗握るね
[00:13:10] 今ラバダノス選手の映像を見ましたけど
[00:13:13] 皆さんの印象はどんな感じですかもう
[00:13:15] ヌルマゴ一波って聞いてたんでもっと
[00:13:18] ゴリゴリ
[00:13:19] テイクなしに行ってっていう感じなのかな
[00:13:21] と思って見てみたら
[00:13:22] 意外と
[00:13:23] 打撃の交換も
[00:13:25] 長い距離で
[00:13:26] ジャブついたりとか
[00:13:28] そういう戦い方しててでタックルもなんか
[00:13:31] ぐちゃぐちゃっていくんじゃなくて意外と
[00:13:33] この打撃の
[00:13:35] 工作の中ですした範囲に行くみたいな意外
[00:13:38] とテクニックもうちょっとみんなねあるん
[00:13:41] ですけど
[00:13:42] 戦い方として結構テクニカルな戦い方する
[00:13:45] んだなっていうのもちょっと意外というか
[00:13:47] そういう印象です
[00:13:49] すごい上手です
[00:14:37] で上での組をそんなにやってなかったって
[00:14:41] ことはその得意じゃないのかなと思ったん
[00:14:42] で
[00:14:43] 上組になれば4つの展開になれば
[00:14:45] 武田君の方が多分ね今の武田選手はノリー
[00:14:49] に乗ってるからねこないだの試合でもう
[00:14:53] 家賃の勝ち
[00:14:54] 全部帳消しになってる
[00:14:56] 言わなくて
[00:14:59] 取り返さないでください
[00:15:04] ラバダの選手の強みを一人ずつ聞いていき
[00:15:06] たいですね強みできればまあ弱みも
[00:15:09] テイクダウンで自信あるんだろうなって
[00:15:11] いうとこですよね
[00:15:13] うん
[00:15:14] 逆になんかこうウィークポイントみたいな
[00:15:15] ので見て取れましたかこうガンガン前出て
[00:15:18] くる選手に対してどういう
[00:15:20] 戦い方すんのかなっていうのは
[00:15:22] ねなかなか
[00:15:24] 難しい
[00:15:26] のかとか
[00:15:28] 付き合わないで
[00:15:30] 組みに行くのかとかどうなんだろうって
[00:15:32] いう
[00:15:33] 感じですねー
[00:15:37] やっぱりこう戦略立てて戦ってるんで
[00:15:40] なんかまあ多分フィジカルも自信あると
[00:15:42] 思うんですけど
[00:15:43] ちゃんとこう順番立てて攻めるという
[00:15:45] ところでなかなか
[00:15:47] 攻めるのも難しいのかなと思います
[00:15:49] ミスしないみたいなところがあるので
[00:15:52] 逆にそれもなんか
[00:15:53] 弱みなのかな先にこう先制でこうガーって
[00:15:56] いかれると
[00:15:57] 意外と弱かったりするんじゃないかなって
[00:15:58] いうのはいろんな展開見てみたいですけど
[00:16:00] ね
