[00:00:00] ここもものすごい強みって言っていいです
[00:00:01] よねusfcっていうゲームを理解して
[00:00:03] いる朝倉貝の1番の強さっていうのは俺
[00:00:07] メンタリティだと思う
[00:00:08] [音楽]
[00:00:19] んはいこんにちはこんにちはこち今日は何
[00:00:23] はいえ本日はUFC3102で行われます
[00:00:27] はいアレシャンドレパントージャ対はい
[00:00:30] 朝倉
[00:00:31] か野球タイトルマッチの勝敗予想を石渡
[00:00:35] さんにタイトルマッチ
[00:00:38] はい思います日本人のusfcはい
[00:00:43] タイトルはねまだ誰も達成してないです
[00:00:46] けど達成しませんはいはいそれを今回達成
[00:00:49] できるのかとはいいうところを予想して
[00:00:52] いきたいと思いますはいよろしくお願いし
[00:00:54] ますあれですね男性だとアジア人自体はず
[00:00:57] じゃないですかそうですねおお
[00:01:00] はけどそうすねそうかはいま早速ですけど
[00:01:04] はいま展開予想とはいしていきたいんです
[00:01:08] けどはいでもこれ展開ってすごい分かり
[00:01:11] やすいんじゃないかなはいま十字黒帯で
[00:01:15] あるうんパント者チャンピオンのパント者
[00:01:19] はま組みたいでしょうしうんはい朝倉選手
[00:01:22] はえま打撃で戦いたいでしょうしはいはい
[00:01:26] までも当然ね打撃から始まる競技なんで合
[00:01:30] の中でどう組んでくかここでね視聴者の方
[00:01:34] もはいはいま雷人ファンの方とかねはい
[00:01:37] パントジって誰そうす美味しいのみたいな
[00:01:41] はいでこあると思うんね食べ物なのにそう
[00:01:44] 食べ食べれるのみたいとこあると思うんで
[00:01:47] パト者の説明をちょっとしていただきてい
[00:01:49] はいはいバ当社選手はえまブラジル人の
[00:01:53] 柔術黒帯の選手ではいおおま基本的には
[00:01:57] その柔術を生かした戦い方が
[00:02:00] 得な選手ですはいでま日本人の日本人の方
[00:02:05] に馴染みのある選手だとこの前平達郎選手
[00:02:09] に勝ったロイバンエヌジェイ
[00:02:30] 対戦して佐ウカ選手をリアトチクで1本
[00:02:34] はいお感はい取ってる手ウルカ選手から1
[00:02:37] 本ができる人なんているんすかいない
[00:02:39] だろういないっすなかなかいないと思
[00:02:41] なかなかいないだろなまあとあのマネルケ
[00:02:45] これ怒る人いるからあと気づかないで
[00:02:50] そそういうことはいはいはいあとすいませ
[00:02:54] んマネルケープにも変わってますマネル
[00:02:57] ケープそち割最近マネルプはねマネル
[00:03:01] ケープもね許しきて調子上げてたけどはい
[00:03:03] でも今マネルケープにも勝ってるとはいも
[00:03:06] 間違いなく実力者はいなんだけどまなん
