[00:00:00] [音楽]
[00:00:01] ま簡単にはテイク取られないのは間違い
[00:00:04] ないと思いますね続いてあの昨年のみに
[00:00:08] 生まれた桜カ選手とチレッタの試合見
[00:00:11] ながら今度はカ選手の解説の方お願いし
[00:00:14] ます
[00:00:15] はいみにこの試合に関しては対戦相手の
[00:00:18] アチレッタが対協して試合実施するかし
[00:00:22] ないかっていうところで結構議論されて思
[00:00:25] ですけどはいさんはなんか時そんな感じで
[00:00:29] 声ですえっとねセコンド陣が全員やめ
[00:00:33] させようとしてたんですけど俺は絶対やっ
[00:00:35] た方がいいって言いました勝てるんで
[00:00:39] はいこの時の選手やっぱり調子はすごい
[00:00:42] 良かったです調子良かったですねはいただ
[00:00:45] 体重差相当あったんじゃないかな
[00:00:48] 多分うんこう画面越しでもね明らかに
[00:00:51] フェザー級の体してますもんねチレッタ
[00:00:56] はこれはもう分のこユに使って
[00:01:01] プレッシャーかけて状ですね最初うんと
[00:01:04] いうよりえっとイエローカードでしたっけ
[00:01:06] レッドカードでしたっけカーなんでもう
[00:01:09] 判定に行くことは考えてないんじゃない
[00:01:10] ですかね判定行ったら負けなんでこの時の
[00:01:13] カ選手の作戦というのはどういったプラン
[00:01:15] だっですまボディをボディが弱いんじゃ
[00:01:18] ないかっていう話だったんでまボディ狙っ
[00:01:22] てました
[00:01:24] ねでまテイクダウン来るのもボディ入れ
[00:01:27] とけば入りづらくなるんで相手は
[00:01:33] ここはそうっすねこれでもヘッドバットな
[00:01:36] んで
[00:01:38] ねまでもなん
[00:01:42] なくスクランブルからちゃんとサイド取っ
[00:01:45] 結構っうんま1回休憩できたのが良かった
[00:01:49] ですよ
[00:01:52] ね相手にもうんあの負けないてのか普段
[00:01:55] からリスにかなり向上し
[00:01:58] てるそうですね特にこのテイクダウン
[00:02:01] ディフェンスはめちゃめちゃ強いんで元々
[00:02:04] テイクダウンあんま取られてるのを見た
[00:02:05] ことないと思うんすけどだからそこに関し
[00:02:08] てはパントージャとかにも全然通用すると
[00:02:10] いうか取れないと相手がすごい疲弊してく
[00:02:14] んで何度も腰の強い人に何度も入れない
[00:02:18] です
[00:02:19] しまそこはさっきとは全然違う展開になる
[00:02:22] のかなと思いますけど
[00:02:24] ねこれあのさんが呼吸っていうコメけど1
[00:02:29] 回勢立て直す
[00:02:31] た大抵立て直すとよりはもう別になん
[00:02:36] だろうタッチになった時に敬王をすること
[00:02:38] を考えて欲しかったんでそのためにその1
[00:02:41] 回呼吸を整えて強い打撃が打てるように
[00:02:45] 準備を整えて欲しいって意味で言ったん
[00:02:47] です
[00:02:50] けどまこの辺はあのパンドジャもやって
[00:02:54] くる動きだと思うんです
[00:02:56] けどま簡単にはテクダン取れないでしょう
[00:02:59] ね
[00:03:00] こん感の展にはなることあると思いますで
[00:03:03] もここは弟の方は逆に休憩できてるんで
[00:03:06] 相手は疲れていくっていう
[00:03:12] 展開そう
[00:03:14] ですリングやっぱ手が後ろに回りやすいん
[00:03:23] で結構こう振相手に対して選手はパンチ
[00:03:27] 見えて
[00:03:30] うんどうなんでしょうねでもやっぱり普通
