[00:00:02] 皆さん、こんにちは。MMA言語課挑戦中
[00:00:05] です。え、今日は朝倉カ選手とティム
[00:00:09] エリオット選手の試合について喋っていき
[00:00:11] たいと思います。え、ま、大会全体の感想
[00:00:14] はちょっと別で動画あげようと思うんです
[00:00:16] が、ま、ちょっとなかなかショッキングな
[00:00:19] 、あ、試合だったので、ちょっとこの試合
[00:00:21] は、あ、これ1本で喋ろうかなと思います
[00:00:24] 。え、どっからしがるかな。まあ、まあ、
[00:00:29] 普通に試合振り返りましょう。ま、えっと
[00:00:32] 、ま、始まって、え、ま、予想通り
[00:00:37] エリオット選手がかなり、え、トリッキー
[00:00:39] な動きをしながら、え、左右スイッチし
[00:00:43] ながら、あ、攻撃をしていました。で、か
[00:00:47] 選手はおそらく最初ちょっと様子みだった
[00:00:50] んだと思います。あまりそこまで手数を
[00:00:54] 出さずに、え、ちょっとプレスかけられ
[00:00:57] てる展開でしたね。ただだんだん慣れてき
[00:00:59] て、え、逆にか選手が中央を取って
[00:01:03] エリオット選手が、え、掲示側を回る展開
[00:01:05] になって、で、ま、とにかく僕序盤で1番
[00:01:09] うん、心配してたのはそのカ選手があの
[00:01:12] 良くない癖とストレートストレートとか膝
[00:01:15] 膝とかもう一発系を狙いすぎる状態になっ
[00:01:19] てしまうのが、ま、良くないっていうのが
[00:01:21] あったんで、最初の立ち上がりどうかなと
[00:01:24] 思って見てって、で、ジャブから入っで、
[00:01:28] ワンツっていうのを2回か3回ぐらいやっ
[00:01:31] て、ちょっとんどっちだろうなと思ったん
[00:01:33] ですよね。ジャブからは入れてる。ジャブ
[00:01:35] から入ってるんだけどワンツ出すの早くな
[00:01:37] いっていうストレートもうちょっとこう
[00:01:40] 言ったら回選手の右ストレートとか飛び膝
[00:01:43] っていうのは、ま、言ったら必殺技なわけ
[00:01:45] ですよね。だ、必殺技ある程度隠しておい
[00:01:48] て時々出す方がいいんで、ちょっとどうか
[00:01:51] なと思って見てたんですけど、そこまで
[00:01:54] こう乱発はその後しなくって割と落ち着い
[00:01:57] て、え、じっくり行く感じにはなってるな
[00:02:01] 、大丈夫そうだなっていう風に、え、
[00:02:04] 立ち上がりは見ました。ただエリオット
[00:02:07] 選手が僕が過去見た試合の中で比べても
[00:02:14] いつも以上にトリッキでしたね。
[00:02:17] あのエリオと濃い目って感じでしたね。だ
[00:02:21] から相当やりにくかったとは思います。カ
[00:02:24] 選手としてあれだけなんかあ、スイッチし
[00:02:27] てなんか手を変な動きをしたりして片足で
[00:02:31] こうなんか片足でぴょんぴょンしながら
[00:02:33] 迫ってくるとかあれエイリオ選手よくやる
[00:02:35] んですけどもちろんか選手も多分映像で見
[00:02:38] てたんでやってくるのは分かってたと思い
[00:02:40] ます。ことはにしても多分映像で見てる
[00:02:43] 以上にやってくるなっていう感覚はあった
[00:02:46] んじゃないかなっていう気がしました。で
[00:02:49] 、ただエリオット選手はなんか色々
[00:02:52] ふにゃふにゃふにゃふにゃふにゃふにゃ
[00:02:53] やって、え、蹴りとかも出してるんです
[00:02:55] けどほとんど当たってはいなかったんです
[00:02:58] よね。カ選手がうまく買わせていて、で、
[00:03:02] カ選手の方がジャブとか蹴り当てて、あ、
[00:03:04] いいペースだなと。で、パンチのスピード
[00:03:07] にはちょっとエリオット選手差がある感じ
[00:03:10] があったんで、ちょっとやっぱスピードで
[00:03:13] はだいぶカ選手の方が有利なんで、これ
[00:03:15] 慣れてくればだんだんうん、カ選手が捉え
[00:03:19] てくるんじゃないかなと思って見てたん
[00:03:21] ですけど、
