[00:00:00] まあ今回なんといっても
[00:00:01] メインがクレベル選手と
[00:00:05] 黄色選手の
[00:00:06] フェザー級
[00:00:09] 面白い面白い
[00:00:10] [笑い]
[00:00:12] [音楽]
[00:00:19] どうですかどういう風に見てます
[00:00:24] この前のノックアウトかなまあ
[00:00:27] 鈴木選手の試合は何試合か見てて
[00:00:30] ノックアウトでも見たんですけど
[00:00:34] 強いのよ
[00:00:36] 重い何がついてやっぱね俺が一番感じるの
[00:00:39] は
[00:00:40] 体が強い力も強いだろうしその打たれ強い
[00:00:46] で勢い若いですよね若いですね
[00:00:52] 怖いものなしの感じ
[00:00:54] があってで
[00:00:56] そのノックアウトの試合ももう最初開始の
[00:01:01] 殴り合いで一歩も引かずに咲き当てたのが
[00:01:04] 鈴木選手で
[00:01:06] KO勝ちみたいな
[00:01:07] で
[00:01:08] RIZINでの中原選手との試合も見て
[00:01:11] ましたけど流れのやつやっぱうまいんです
[00:01:13] よボクシングで当てての中原選手
[00:01:18] 被弾いっぱいたくさん避難させてるのは
[00:01:22] 中原選手なんだけど
[00:01:25] ケロッとした顔で
[00:01:27] 鈴木選手はもらいながらもねキロッとして
[00:01:29] て工作のなんか一発ポコンと当てて
[00:01:32] 慶應
[00:01:34] ね
[00:01:38] 鈴木ちひろ選手は中浦戦は何だっけどっか
[00:01:42] 怪我してたんだよ
[00:01:47] ねっていう状態だったらしいいやだから
[00:01:51] 本当ねすごくてだから
[00:01:54] 一時のゴミさんみたいなノリだなって俺見
[00:01:57] てるですよ
[00:02:00] 3発もらって聞かずに一発当てて倒す
[00:02:04] みたいな
[00:02:05] やっぱあれは先生のものですよね打たれ強
[00:02:08] さ体の強さっていうのはそれもね限りある
[00:02:11] 資源だからね無駄遣いはいけないんだけど
[00:02:14] いやでもすごい強い
[00:02:18] て考えた時に
[00:02:20] クレベル選手は意外と喧嘩っ早くて
[00:02:25] 元々ごくわれだみたいなね自分とのごく
[00:02:28] 悪いそんな話も耳にするぐらい
[00:02:31] 血の気が多い選手ですよ
[00:02:33] 充実はトップレベルでなんで意外と
