[00:00:02] はい。え、5月10日に行われるライジン
[00:00:05] 53今年初の関西での大会をユネクスト
[00:00:09] 恒例の勝敗予想で占ってみたいと思います
[00:00:12] 。え、私本日司会を担当する川尻達也です
[00:00:16] 。よろしくお願いします。
[00:00:20] はい。そして今回の出演者はこちらの方々
[00:00:22] です。え、まずは勝敗予想初出演になり
[00:00:25] ます。
[00:00:26] 元来人ライト級王者ホルトサ座選手です。皆さんこんにちは。小ベルトサ座です。お
[00:00:34] 願いします。
[00:00:35] こちらも初出演ですね。怪物君と藤鈴木明選手です。お願いします。
[00:00:41] よろしくお願いします。
[00:00:43] お願いします。そして先日の福岡大会で大座朝鮮を経験しました五藤司選手です。お願いします。
[00:00:50] お願いします。五藤選手。
[00:00:53] このサト選手や鈴木選手と交流あります?
[00:00:57] あの鈴木選手は1
[00:00:58] 回だけあのファンイベントでご一緒したことある。
[00:01:01] なるほど。
[00:01:02] サト選手とはこうやってお話するのはもうほとんど初めて初めてどうですか印象は?
[00:01:06] いや、サト選手やっぱめちゃくちゃオールあるんですごいなって
[00:01:12] 鈴木選手は
[00:01:13] はい。
[00:01:13] やっぱこうテストステロンが素晴らそう。
[00:01:17] はい。
[00:01:17] なんかもう
[00:01:18] ギラギラしてそうですよね。
[00:01:19] はい。
[00:01:20] ギラギラがすごいです。
[00:01:21] きなテストステロン値高めの
[00:01:23] はい。や、佐井選手はどうですか?この前回ね、残念な負けてしまいましたけど、復帰に向けて最近はどういう感じでもう練習もハードになってます?
[00:01:33] そうですね。もう本当にもう前の試合で負けるの後から試合の前のプレッシャーとかね。だからもう本当に
[00:01:40] 2
[00:01:40] ヶ月が本当に休みたい。多分私練習するのは
[00:01:44] 30年ぐらいでもう本当に初めて
[00:01:46] 2ヶ月ぐらいで
[00:01:47] 何も練習してないし。
[00:01:49] そう。もうずっと30
[00:01:50] 年やってきて初めてそんな名前時間だ。
[00:01:53] へえ。手術もしたけどもう片手術ってもよが自分もいてるし友達なんかサポートがいるだけでもう手伝うけどでも本当に今回は初めてもう
[00:02:03] 1ヶ月は全然事何も練習してないです。
[00:02:07] 初めての長期給休容でコンディション戻りました。
[00:02:10] あ、もう全部もう戻りました。本当にもう
[00:02:12] 3
[00:02:12] 月から翌日が練習に戻ってももう気持ちはもうまた試合したいですが。
[00:02:17] なるほど。
[00:02:18] じゃ、もちろんベルトダッシュに向けて、
[00:02:20] あ、もちろんそう。まだその気持ち今年でね、その気持ちまだあります。はい。
[00:02:24] はい。楽しみにしてます。鈴木選手は現在
[00:02:27] 41歳ですよね。
[00:02:28] 41歳でイエローと山本ソ選手に
[00:02:32] 2
[00:02:32] 連勝中。
[00:02:33] 校長の秘訣はどうすか?
[00:02:35] 校長の秘訣はテストステロン。
[00:02:37] テストステロンですね。はい。
[00:02:40] いや、他にも何か
[00:02:41] そうですね。41
[00:02:42] 歳って僕引退した年なんで、そこ自分でもね、その年で戦うことはどんだけ大変なことが分かるから
[00:02:50] はい。秘訣を是非
[00:02:51] この連敗した時にそれこそ
